Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    0.538    0.551    0.420    0.682
1906 -999.900    0.695    0.593    0.473    0.791
1907 -999.900    0.403    0.494    0.307    0.608
1908 -999.900    0.517    0.522    0.360    0.685
1909 -999.900    0.479    0.507    0.383    0.582
1910 -999.900    0.518    0.537    0.422    0.614
1911 -999.900    0.570    0.508    0.372    0.666
1912 -999.900    0.558    0.619    0.462    0.727
1913 -999.900    0.675    0.573    0.438    0.771
1914 -999.900    0.645    0.552    0.413    0.741
1915 -999.900    0.504    0.589    0.408    0.730
1916 -999.900    0.331    0.455    0.235    0.616
1917 -999.900    0.443    0.518    0.347    0.630
1918 -999.900    0.324    0.436    0.228    0.583
1919 -999.900    0.350    0.520    0.254    0.737
1920 -999.900    0.476    0.491    0.380    0.572
1921 -999.900    0.366    0.474    0.270    0.606
1922 -999.900    0.486    0.504    0.390    0.582
1923 -999.900    0.522    0.626    0.426    0.821
1924 -999.900    0.646    0.619    0.516    0.742
1925 -999.900    0.677    0.596    0.495    0.773
1926 -999.900    0.592    0.609    0.496    0.695
1927 -999.900    0.531    0.508    0.435    0.627
1928 -999.900    0.355    0.409    0.259    0.494
1929 -999.900    0.465    0.517    0.369    0.580
1930 -999.900    0.592    0.579    0.496    0.688
1931 -999.900    0.430    0.523    0.334    0.629
1932 -999.900    0.618    0.605    0.522    0.714
1933 -999.900    0.704    0.637    0.558    0.800
1934 -999.900    0.586    0.502    0.402    0.682
1935 -999.900    0.668    0.581    0.453    0.764
1936 -999.900    0.400    0.465    0.304    0.578
1937 -999.900    0.529    0.558    0.433    0.625
1938 -999.900    0.632    0.558    0.428    0.728
1939 -999.900    0.582    0.601    0.486    0.678
1940 -999.900    0.602    0.644    0.506    0.748
1941 -999.900    0.429    0.489    0.333    0.593
1942 -999.900    0.573    0.578    0.477    0.669
1943 -999.900    0.472    0.539    0.376    0.660
1944 -999.900    0.497    0.552    0.401    0.618
1945 -999.900    0.363    0.525    0.267    0.742
1946 -999.900    0.627    0.565    0.460    0.723
1947 -999.900    0.535    0.535    0.439    0.631
1948 -999.900    0.642    0.537    0.408    0.738
1949 -999.900    0.771    0.607    0.421    0.867
1950 -999.900    0.575    0.573    0.479    0.671
1951 -999.900    0.728    0.569    0.385    0.824
1952 -999.900    0.639    0.552    0.411    0.735
1953 -999.900    0.644    0.561    0.452    0.740
1954 -999.900    0.586    0.522    0.443    0.682
1955 -999.900    0.599    0.536    0.372    0.700
1956 -999.900    0.520    0.473    0.349    0.616
1957 -999.900    0.687    0.610    0.485    0.783
1958 -999.900    0.536    0.531    0.440    0.632
1959 -999.900    0.571    0.498    0.380    0.667
1960 -999.900    0.496    0.517    0.400    0.607
1961 -999.900    0.617    0.524    0.360    0.713
1962 -999.900    0.663    0.516    0.327    0.759
1963 -999.900    0.406    0.403    0.307    0.502
1964 -999.900    0.761    0.630    0.431    0.857
1965 -999.900    0.541    0.567    0.390    0.744
1966 -999.900    0.548    0.485    0.387    0.644
1967 -999.900    0.625    0.568    0.476    0.721
1968 -999.900    0.646    0.572    0.478    0.742
1969 -999.900    0.564    0.512    0.429    0.660
1970 -999.900    0.560    0.537    0.449    0.656
1971 -999.900    0.424    0.459    0.328    0.551
1972 -999.900    0.441    0.423    0.275    0.572
1973 -999.900    0.564    0.548    0.468    0.660
1974 -999.900    0.510    0.487    0.413    0.606
1975 -999.900    0.850    0.643    0.399    0.946
1976 -999.900    0.552    0.526    0.456    0.648
1977 -999.900    0.582    0.634    0.486    0.723
1978 -999.900    0.611    0.532    0.431    0.707
1979    0.757    0.678    0.615    0.533    0.774
1980    0.760    0.669    0.632    0.545    0.765
1981    0.655    0.547    0.518    0.418    0.643
1982    0.680    0.660    0.593    0.487    0.756
1983    0.663    0.576    0.592    0.480    0.672
1984    0.593    0.531    0.539    0.435    0.627
1985    0.577    0.484    0.560    0.388    0.656
1986    0.625    0.473    0.565    0.377    0.675
1987    0.772    0.567    0.553    0.471    0.663
