Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    1.354    1.221    0.945    1.496
1906 -999.900    1.487    1.401    1.026    1.776
1907 -999.900    1.125    1.131    0.900    1.361
1908 -999.900    1.093    1.138    0.926    1.349
1909 -999.900    1.301    1.263    1.010    1.516
1910 -999.900    1.337    1.114    0.795    1.462
1911 -999.900    0.949    0.875    0.460    1.290
1912 -999.900    1.209    1.258    0.965    1.551
1913 -999.900    1.380    1.287    1.133    1.505
1914 -999.900    1.521    1.361    1.095    1.646
1915 -999.900    1.411    1.296    1.007    1.585
1916 -999.900    0.996    1.026    0.700    1.352
1917 -999.900    0.981    0.980    0.572    1.388
1918 -999.900    1.368    1.353    1.221    1.493
1919 -999.900    1.133    1.085    0.799    1.371
1920 -999.900    1.235    1.222    1.008    1.435
1921 -999.900    1.266    1.173    0.897    1.449
1922 -999.900    1.079    1.149    0.691    1.607
1923 -999.900    1.442    1.351    1.045    1.656
1924 -999.900    1.104    1.123    0.659    1.587
1925 -999.900    1.194    1.135    0.762    1.509
1926 -999.900    1.059    1.101    0.766    1.437
1927 -999.900    1.169    1.210    0.746    1.674
1928 -999.900    0.934    1.022    0.746    1.299
1929 -999.900    1.108    1.156    0.923    1.390
1930 -999.900    1.337    1.211    0.852    1.569
1931 -999.900    0.748    0.797    0.555    1.040
1932 -999.900    1.149    1.231    1.024    1.421
1933 -999.900    1.153    1.212    1.003    1.421
1934 -999.900    1.261    1.230    0.938    1.522
1935 -999.900    1.259    1.278    1.057    1.499
1936 -999.900    1.099    1.254    0.974    1.531
1937 -999.900    1.277    1.259    1.113    1.404
1938 -999.900    0.994    1.068    0.857    1.279
1939 -999.900    1.093    1.192    0.968    1.356
1940 -999.900    1.261    1.317    1.021    1.613
1941 -999.900    1.191    1.260    1.039    1.481
1942 -999.900    0.923    0.968    0.798    1.102
1943 -999.900    1.007    1.119    0.802    1.437
1944 -999.900    1.110    1.238    0.908    1.568
1945 -999.900    1.134    1.192    0.916    1.468
1946 -999.900    0.944    1.006    0.673    1.338
1947 -999.900    1.180    1.107    0.711    1.504
