Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    0.780    0.691    0.475    0.922
1906 -999.900    0.683    0.629    0.473    0.825
1907 -999.900    0.353    0.384    0.153    0.615
1908 -999.900    0.500    0.512    0.358    0.661
1909 -999.900    0.761    0.656    0.456    0.903
1910 -999.900    0.456    0.434    0.287    0.598
1911 -999.900    0.457    0.478    0.315    0.599
1912 -999.900    0.658    0.603    0.412    0.800
1913 -999.900    0.593    0.562    0.387    0.737
1914 -999.900    0.635    0.659    0.493    0.783
1915 -999.900    0.680    0.656    0.533    0.822
1916 -999.900    0.549    0.454    0.330    0.691
1917 -999.900    0.435    0.451    0.290    0.612
1918 -999.900    0.437    0.459    0.295    0.595
1919 -999.900    0.564    0.538    0.376    0.706
1920 -999.900    0.530    0.547    0.313    0.781
1921 -999.900    0.638    0.497    0.182    0.812
1922 -999.900    0.576    0.495    0.326    0.718
1923 -999.900    0.899    0.771    0.440    1.101
1924 -999.900    0.361    0.377    0.089    0.665
1925 -999.900    0.451    0.474    0.245    0.703
1926 -999.900    0.698    0.673    0.431    0.915
1927 -999.900    0.590    0.569    0.448    0.732
1928 -999.900    0.154    0.344    0.012    0.579
1929 -999.900    0.660    0.583    0.456    0.802
1930 -999.900    0.554    0.579    0.412    0.717
1931 -999.900    0.393    0.578    0.251    0.823
1932 -999.900    0.542    0.599    0.400    0.684
1933 -999.900    0.745    0.673    0.431    0.915
1934 -999.900    0.563    0.482    0.344    0.705
1935 -999.900    0.584    0.483    0.279    0.726
1936 -999.900    0.509    0.525    0.367    0.652
1937 -999.900    0.696    0.632    0.340    0.924
1938 -999.900    0.473    0.443    0.209    0.677
1939 -999.900    0.421    0.495    0.279    0.680
1940 -999.900    0.869    0.786    0.584    1.011
1941 -999.900    0.468    0.536    0.326    0.663
1942 -999.900    0.543    0.593    0.401    0.727
1943 -999.900    0.601    0.532    0.347    0.743
1944 -999.900    0.485    0.547    0.343    0.707
1945 -999.900    0.627    0.623    0.446    0.799
1946 -999.900    0.555    0.543    0.413    0.697
1947 -999.900    0.422    0.502    0.280    0.630
1948 -999.900    0.477    0.498    0.335    0.619
1949 -999.900    0.336    0.364    0.052    0.676
