Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    1.475    1.442    1.213    1.672
1906 -999.900    1.324    1.261    1.118    1.475
1907 -999.900    1.155    1.091    0.941    1.306
1908 -999.900    1.309    1.233    1.097    1.460
1909 -999.900    1.283    1.308    1.083    1.534
1910 -999.900    1.430    1.411    1.188    1.635
1911 -999.900    1.035    1.123    0.884    1.298
1912 -999.900    1.191    1.153    1.009    1.342
1913 -999.900    1.318    1.271    1.085    1.469
1914 -999.900    1.336    1.258    1.022    1.494
1915 -999.900    1.273    1.437    1.061    1.812
1916 -999.900    1.082    1.126    0.889    1.362
1917 -999.900    1.340    1.300    1.086    1.514
1918 -999.900    1.146    1.164    0.995    1.312
1919 -999.900    1.228    1.183    0.913    1.452
1920 -999.900    1.360    1.487    1.116    1.857
1921 -999.900    0.978    1.097    0.827    1.319
1922 -999.900    1.168    1.295    1.017    1.549
1923 -999.900    1.006    1.159    0.855    1.345
1924 -999.900    0.826    0.822    0.610    1.033
1925 -999.900    1.225    1.212    0.996    1.428
1926 -999.900    1.335    1.353    1.123    1.583
1927 -999.900    1.400    1.472    1.217    1.728
1928 -999.900    1.090    1.048    0.848    1.248
1929 -999.900    1.548    1.473    1.258    1.699
1930 -999.900    1.277    1.168    0.944    1.428
1931 -999.900    1.199    1.162    1.044    1.350
1932 -999.900    1.106    1.191    0.955    1.382
1933 -999.900    1.129    1.237    0.978    1.364
1934 -999.900    1.035    1.188    0.884    1.418
1935 -999.900    1.133    1.093    0.854    1.333
1936 -999.900    1.050    1.215    0.899    1.448
1937 -999.900    0.969    1.051    0.818    1.214
1938 -999.900    1.342    1.385    1.158    1.613
1939 -999.900    1.361    1.387    1.147    1.627
1940 -999.900    0.999    1.130    0.848    1.354
1941 -999.900    1.138    1.184    0.987    1.355
1942 -999.900    1.007    1.190    0.846    1.535
1943 -999.900    1.180    1.132    0.975    1.331
1944 -999.900    1.198    1.398    0.930    1.865
1945 -999.900    1.352    1.299    1.076    1.522
1946 -999.900    1.404    1.391    1.151    1.632
1947 -999.900    1.168    1.064    0.818    1.319
1948 -999.900    1.120    1.196    0.969    1.357
1949 -999.900    0.939    0.998    0.788    1.170
1950 -999.900    1.143    1.101    0.882    1.320
1951 -999.900    1.301    1.512    1.150    1.852
1952 -999.900    0.848    0.954    0.697    1.202
1953 -999.900    1.243    1.383    1.092    1.606
1954 -999.900    1.064    1.106    0.913    1.248
1955 -999.900    1.010    1.049    0.859    1.234
1956 -999.900    1.026    1.137    0.875    1.287
1957 -999.900    1.069    1.095    0.918    1.236
1958 -999.900    1.405    1.387    1.197    1.577
1959 -999.900    1.134    1.038    0.742    1.334
1960 -999.900    1.317    1.230    1.059    1.468
1961 -999.900    1.414    1.390    1.185    1.596
1962 -999.900    1.106    1.127    0.955    1.257
1963 -999.900    1.483    1.318    1.045    1.634
1964 -999.900    1.122    1.101    0.881    1.321
1965 -999.900    1.245    1.204    0.939    1.468
1966 -999.900    1.234    1.255    1.053    1.458
1967 -999.900    1.227    1.195    0.955    1.435
1968 -999.900    1.460    1.403    1.252    1.611
1969 -999.900    1.263    1.238    1.099    1.414
1970 -999.900    1.237    1.362    1.086    1.600
1971 -999.900    1.262    1.216    0.962    1.470
1972 -999.900    1.338    1.428    1.187    1.658
1973 -999.900    1.192    1.117    0.981    1.343
1974 -999.900    1.335    1.237    1.028    1.486
1975 -999.900    1.395    1.346    1.144    1.547
1976 -999.900    1.204    1.307    1.052    1.562
1977 -999.900    1.287    1.332    1.136    1.498
1978 -999.900    1.439    1.481    1.261    1.701
1979    1.487    1.400    1.403    1.249    1.551
1980    1.104    1.132    1.113    0.956    1.283
1981    1.301    1.346    1.300    1.195    1.497
1982    1.145    1.135    1.158    0.984    1.289
1983    1.130    1.117    1.084    0.947    1.268
1984    1.204    1.080    1.041    0.929    1.231
1985    1.202    1.175    1.159    1.024    1.326
1986    1.524    1.491    1.484    1.340    1.642
1987    1.133    1.161    1.121    0.977    1.312
1988    0.928    1.011    0.929    0.817    1.162
1989    1.070    1.001    1.052    0.850    1.185
1990    1.477    1.517    1.446    1.342    1.668
1991    1.286    1.331    1.255    1.180    1.482
1992    1.027    1.137    1.075    0.935    1.288
1993    1.192    1.220    1.168    1.054    1.371
1994    1.418    1.299    1.353    1.148    1.462
1995    1.217    1.285    1.283    1.134    1.436
1996    1.357    1.431    1.285    1.142    1.582
1997    1.179    1.281    1.225    1.072    1.432
1998    1.031    1.187    1.128    0.988    1.338
1999    1.054    1.065    1.041    0.914    1.216
2000    1.234    1.166    1.114    1.006    1.317
2001    1.208    1.163    1.130    1.012    1.314
2002    1.159    1.275    1.164    1.011    1.426
2003    1.376    1.415    1.329    1.216    1.566
2004    1.461    1.353    1.340    1.202    1.504
2005    0.876    0.856    0.854    0.705    1.007
2006    1.063    1.119    1.084    0.968    1.270
2007    0.971    0.997    0.994    0.846    1.148
2008    0.911    1.101    0.967    0.785    1.252
2009    1.468    1.499    1.393    1.235    1.650
2010    1.272    1.175    1.143    1.024    1.326
2011    1.175    1.173    1.103    1.013    1.324
2012    1.264    1.304    1.292    1.153    1.455
2013    1.432    1.419    1.365    1.261    1.570
2014    1.265    1.219    1.212    1.068    1.370
2015    1.520    1.536    1.498    1.343    1.687
2016    0.932    1.020    0.975    0.833    1.171
2017    1.514    1.540    1.469    1.365    1.691
2018    1.256    1.081    1.145    0.930    1.307
2019    1.142    1.115    1.127    0.964    1.266
2020    1.162    1.110    1.117    0.959    1.261
