Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    0.711    0.787    0.599    0.890
1906 -999.900    0.871    0.781    0.652    0.983
1907 -999.900    0.711    0.782    0.599    0.925
1908 -999.900    0.822    0.853    0.710    0.934
1909 -999.900    0.694    0.768    0.582    0.878
1910 -999.900    0.949    0.915    0.803    1.061
1911 -999.900    0.812    0.856    0.700    0.936
1912 -999.900    0.897    0.915    0.785    1.009
1913 -999.900    0.898    0.892    0.786    1.010
1914 -999.900    0.974    0.939    0.829    1.086
1915 -999.900    0.867    0.904    0.755    1.045
1916 -999.900    0.972    0.929    0.834    1.084
1917 -999.900    0.830    0.869    0.718    0.991
1918 -999.900    0.724    0.795    0.612    0.938
1919 -999.900    0.867    0.869    0.755    0.979
1920 -999.900    0.977    0.946    0.865    1.089
1921 -999.900    0.971    0.930    0.828    1.083
1922 -999.900    0.818    0.893    0.706    1.022
1923 -999.900    0.731    0.829    0.619    0.953
1924 -999.900    0.682    0.765    0.570    0.886
1925 -999.900    0.705    0.790    0.593    0.884
1926 -999.900    0.698    0.811    0.586    0.956
1927 -999.900    0.887    0.920    0.775    0.999
1928 -999.900    0.770    0.838    0.658    0.928
1929 -999.900    0.937    0.911    0.825    1.049
1930 -999.900    0.843    0.835    0.731    0.955
1931 -999.900    0.788    0.854    0.676    0.986
1932 -999.900    0.891    0.862    0.779    1.003
1933 -999.900    0.732    0.797    0.620    0.896
1934 -999.900    0.847    0.844    0.735    0.959
1935 -999.900    0.827    0.828    0.715    0.939
1936 -999.900    0.993    0.947    0.848    1.105
1937 -999.900    0.878    0.848    0.766    0.990
1938 -999.900    0.798    0.843    0.686    0.950
1939 -999.900    0.859    0.876    0.747    0.971
1940 -999.900    0.748    0.775    0.636    0.860
1941 -999.900    0.817    0.829    0.705    0.929
1942 -999.900    0.885    0.905    0.773    0.997
1943 -999.900    0.759    0.842    0.647    0.963
1944 -999.900    0.742    0.767    0.630    0.854
1945 -999.900    0.871    0.955    0.759    1.075
1946 -999.900    0.740    0.865    0.628    1.005
1947 -999.900    0.871    0.920    0.759    0.983
1948 -999.900    0.724    0.785    0.612    0.877
1949 -999.900    0.843    0.880    0.731    0.970
1950 -999.900    0.874    0.860    0.762    0.986
1951 -999.900    0.911    0.862    0.767    1.023
1952 -999.900    0.988    0.965    0.876    1.100
1953 -999.900    0.903    0.871    0.791    1.015
1954 -999.900    0.963    0.920    0.851    1.075
1955 -999.900    0.953    0.915    0.841    1.065
1956 -999.900    0.964    0.914    0.848    1.076
1957 -999.900    0.906    0.871    0.794    1.018
1958 -999.900    0.885    0.920    0.773    1.036
1959 -999.900    0.982    0.884    0.758    1.094
1960 -999.900    0.929    0.921    0.817    1.041
1961 -999.900    0.888    0.836    0.766    1.000
1962 -999.900    1.006    0.905    0.792    1.118
1963 -999.900    1.051    0.881    0.687    1.163
1964 -999.900    0.815    0.808    0.703    0.927
1965 -999.900    0.880    0.879    0.768    0.992
1966 -999.900    0.969    0.956    0.857    1.081
1967 -999.900    0.823    0.838    0.711    0.935
1968 -999.900    0.911    0.913    0.799    1.023
1969 -999.900    0.938    0.950    0.826    1.050
1970 -999.900    0.836    0.821    0.724    0.948
1971 -999.900    0.824    0.830    0.712    0.936
1972 -999.900    0.972    0.877    0.736    1.084
1973 -999.900    0.889    0.845    0.777    1.001
1974 -999.900    0.914    0.828    0.710    1.026
1975 -999.900    0.739    0.774    0.627    0.868
1976 -999.900    0.902    0.876    0.790    1.014
1977 -999.900    0.883    0.860    0.771    0.995
1978 -999.900    0.923    0.872    0.793    1.035
1979    0.889    0.816    0.828    0.704    0.928
1980    0.815    0.857    0.828    0.745    0.969
1981    0.961    0.987    0.935    0.842    1.099
1982    0.891    0.861    0.863    0.749    0.973
1983    0.878    0.862    0.876    0.750    0.974
1984    0.789    0.848    0.818    0.736    0.960
1985    0.871    0.764    0.779    0.652    0.876
1986    0.732    0.734    0.775    0.622    0.846
1987    0.726    0.721    0.766    0.609    0.866
1988    0.842    0.828    0.813    0.716    0.940
1989    0.838    0.897    0.883    0.774    1.009
1990    0.728    0.836    0.789    0.724    0.948
1991    0.871    0.839    0.854    0.727    0.951
1992    0.821    0.825    0.849    0.713    0.937
1993    0.774    0.823    0.776    0.709    0.935
1994    0.862    0.815    0.850    0.703    0.927
1995    1.005    0.986    0.932    0.815    1.098
1996    0.967    0.891    0.895    0.779    1.003
1997    0.904    0.965    0.887    0.772    1.077
1998    0.941    0.940    0.942    0.828    1.052
1999    0.844    0.848    0.854    0.736    0.960
2000    0.811    0.773    0.773    0.661    0.885
2001    0.853    0.885    0.887    0.773    0.997
2002    0.681    0.741    0.749    0.629    0.853
2003    0.792    0.916    0.889    0.800    1.028
2004    0.825    0.879    0.836    0.737    0.991
2005    0.869    0.819    0.846    0.707    0.931
2006    0.819    0.872    0.839    0.760    0.984
2007    0.845    0.883    0.884    0.771    0.995
2008    1.035    1.001    0.965    0.872    1.113
2009    0.937    0.829    0.886    0.717    0.968
2010    0.946    0.971    0.959    0.859    1.083
2011    0.724    0.787    0.784    0.675    0.899
2012    0.871    0.913    0.860    0.785    1.025
2013    1.053    0.997    0.995    0.885    1.109
2014    1.138    1.008    0.978    0.896    1.120
2015    1.005    1.018    0.980    0.906    1.130
2016    0.902    0.917    0.936    0.805    1.031
2017    0.855    0.863    0.850    0.751    0.975
2018    0.797    0.826    0.836    0.714    0.938
2019    0.694    0.785    0.776    0.673    0.897
2020    0.863    0.879    0.865    0.767    0.991
