Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    2.629    2.594    2.420    2.768
1906 -999.900    2.607    2.690    2.515    2.800
1907 -999.900    2.887    2.749    2.385    3.113
1908 -999.900    2.625    2.661    2.533    2.786
1909 -999.900    2.532    2.623    2.375    2.871
1910 -999.900    2.816    2.730    2.625    2.908
1911 -999.900    2.861    2.880    2.769    2.975
1912 -999.900    2.689    2.624    2.429    2.819
1913 -999.900    2.640    2.631    2.484    2.778
1914 -999.900    2.825    2.709    2.567    2.917
1915 -999.900    2.785    2.715    2.521    2.910
1916 -999.900    2.661    2.724    2.569    2.816
1917 -999.900    2.785    2.678    2.464    2.891
1918 -999.900    2.683    2.725    2.424    3.025
1919 -999.900    2.579    2.624    2.487    2.752
1920 -999.900    2.693    2.736    2.601    2.839
1921 -999.900    2.725    2.790    2.593    2.987
1922 -999.900    2.650    2.705    2.558    2.849
1923 -999.900    2.602    2.530    2.408    2.694
1924 -999.900    2.868    2.790    2.644    2.960
1925 -999.900    2.592    2.587    2.335    2.838
1926 -999.900    2.839    2.649    2.187    3.110
1927 -999.900    2.597    2.684    2.127    3.241
1928 -999.900    2.725    2.732    2.517    2.947
1929 -999.900    2.527    2.554    2.435    2.665
1930 -999.900    2.862    2.683    2.401    2.965
1931 -999.900    2.716    2.732    2.612    2.851
1932 -999.900    2.659    2.582    2.192    2.971
1933 -999.900    2.748    2.758    2.656    2.840
1934 -999.900    2.743    2.792    2.432    3.152
1935 -999.900    2.670    2.611    2.523    2.762
1936 -999.900    2.707    2.702    2.512    2.892
1937 -999.900    2.749    2.769    2.657    2.871
1938 -999.900    2.713    2.730    2.621    2.805
1939 -999.900    2.445    2.153    1.333    2.972
1940 -999.900    2.742    2.617    2.466    2.834
1941 -999.900    2.721    2.605    2.466    2.813
1942 -999.900    2.665    2.750    2.573    2.863
1943 -999.900    2.558    2.641    2.439    2.843
1944 -999.900    2.689    2.599    2.411    2.786
1945 -999.900    2.703    2.680    2.509    2.850
1946 -999.900    2.526    2.567    2.330    2.804
1947 -999.900    2.532    2.517    2.392    2.642
1948 -999.900    2.749    2.793    2.504    3.083
1949 -999.900    2.521    2.625    2.429    2.734
1950 -999.900    2.817    2.824    2.725    2.909
1951 -999.900    2.839    2.782    2.650    2.931
1952 -999.900    2.545    2.708    2.453    2.951
