Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    1.333    1.333    1.237    1.430
1906 -999.900    1.143    1.221    1.045    1.398
1907 -999.900    1.197    1.235    1.023    1.447
1908 -999.900    1.439    1.374    1.240    1.527
1909 -999.900    1.561    1.383    1.075    1.691
1910 -999.900    1.564    1.477    1.274    1.681
1911 -999.900    1.608    1.478    1.290    1.696
1912 -999.900    1.065    1.159    0.977    1.292
1913 -999.900    1.167    1.231    1.079    1.366
1914 -999.900    1.336    1.322    1.223    1.424
1915 -999.900    1.075    1.158    0.987    1.264
1916 -999.900    1.455    1.382    1.212    1.551
1917 -999.900    1.338    1.406    1.208    1.605
1918 -999.900    1.289    1.310    1.196    1.423
1919 -999.900    0.987    1.173    0.899    1.386
1920 -999.900    1.112    1.296    1.024    1.514
1921 -999.900    1.138    1.354    1.050    1.648
1922 -999.900    1.157    1.221    1.047    1.396
1923 -999.900    1.067    1.065    0.967    1.163
1924 -999.900    1.422    1.333    1.121    1.546
1925 -999.900    1.054    1.141    0.966    1.242
1926 -999.900    1.210    1.152    0.979    1.325
1927 -999.900    0.959    1.159    0.871    1.401
1928 -999.900    1.056    1.217    0.966    1.468
1929 -999.900    1.304    1.259    1.098    1.421
1930 -999.900    1.258    1.287    1.158    1.417
1931 -999.900    1.394    1.358    1.234    1.482
1932 -999.900    1.069    1.106    0.910    1.301
1933 -999.900    1.240    1.233    1.073    1.393
1934 -999.900    1.364    1.406    1.263    1.550
1935 -999.900    1.046    1.152    0.958    1.279
1936 -999.900    0.961    1.154    0.873    1.414
1937 -999.900    0.953    1.071    0.865    1.212
1938 -999.900    1.234    1.199    1.089    1.322
1939 -999.900    1.149    1.204    1.060    1.348
1940 -999.900    0.996    1.090    0.908    1.209
1941 -999.900    1.147    1.282    1.059    1.468
1942 -999.900    1.307    1.310    1.189    1.431
1943 -999.900    1.287    1.315    1.122    1.508
1944 -999.900    1.555    1.485    1.290    1.681
1945 -999.900    1.210    1.228    1.086    1.370
