Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    2.740    2.912    2.548    3.276
1906 -999.900    3.001    2.914    2.680    3.149
1907 -999.900    2.880    2.815    2.627    3.005
1908 -999.900    2.902    2.954    2.777    3.083
1909 -999.900    2.671    2.791    2.463    3.119
1910 -999.900    3.046    3.175    2.921    3.342
1911 -999.900    3.094    3.003    2.580    3.427
1912 -999.900    2.952    3.006    2.524    3.487
1913 -999.900    2.856    3.195    2.562    3.828
1914 -999.900    3.157    3.042    2.691    3.393
1915 -999.900    2.797    3.099    2.653    3.544
1916 -999.900    3.049    3.156    2.833    3.479
1917 -999.900    2.822    2.874    2.663    3.085
1918 -999.900    2.757    2.850    2.632    3.020
1919 -999.900    2.901    2.873    2.652    3.094
1920 -999.900    3.121    3.081    2.886    3.276
1921 -999.900    3.066    3.003    2.818    3.191
1922 -999.900    2.954    3.006    2.824    3.188
1923 -999.900    2.546    2.603    2.421    2.697
1924 -999.900    2.914    2.789    2.482    3.096
1925 -999.900    2.770    2.856    2.511    3.202
1926 -999.900    2.988    2.969    2.813    3.126
1927 -999.900    2.947    2.982    2.758    3.205
1928 -999.900    2.977    3.074    2.735    3.413
1929 -999.900    2.816    3.005    2.691    3.209
1930 -999.900    3.217    3.151    2.743    3.560
1931 -999.900    2.999    2.873    2.697    3.124
1932 -999.900    2.979    3.022    2.831    3.213
1933 -999.900    3.133    3.031    2.889    3.258
1934 -999.900    2.899    2.783    2.663    3.024
1935 -999.900    2.712    2.780    2.470    3.089
1936 -999.900    2.836    2.891    2.696    3.086
1937 -999.900    2.849    3.054    2.650    3.458
1938 -999.900    2.904    3.018    2.722    3.313
1939 -999.900    2.427    2.326    1.627    3.025
1940 -999.900    3.018    3.075    2.767    3.383
1941 -999.900    2.864    2.897    2.739    3.044
1942 -999.900    2.965    2.932    2.826    3.090
1943 -999.900    2.801    2.662    2.467    2.926
1944 -999.900    3.184    3.151    2.984    3.319
1945 -999.900    2.995    3.072    2.870    3.228
1946 -999.900    2.730    2.637    2.275    2.999
1947 -999.900    2.967    2.880    2.618    3.142
1948 -999.900    2.815    2.804    2.484    3.124
1949 -999.900    2.873    2.949    2.680    3.218
1950 -999.900    2.942    2.801    2.424    3.178
1951 -999.900    2.840    2.830    2.646    3.014
1952 -999.900    2.819    2.765    2.368    3.162
1953 -999.900    2.789    2.852    2.560    3.143
1954 -999.900    3.135    2.822    2.267    3.376
1955 -999.900    2.978    2.735    2.428    3.103
1956 -999.900    2.772    2.604    2.282    2.926
1957 -999.900    3.006    2.880    2.683    3.131
1958 -999.900    2.757    2.702    2.146    3.258
1959 -999.900    3.139    2.960    2.730    3.264
1960 -999.900    2.892    2.826    2.589    3.063
1961 -999.900    2.736    2.730    2.342    3.118
1962 -999.900    2.845    2.760    2.348    3.172
1963 -999.900    2.820    2.695    2.471    2.945
1964 -999.900    2.723    2.526    2.269    2.848
1965 -999.900    3.105    3.061    2.859    3.263
1966 -999.900    2.880    2.734    2.457    3.011
1967 -999.900    3.030    3.015    2.759    3.271
1968 -999.900    2.751    2.687    2.430    2.944
1969 -999.900    2.976    3.002    2.714    3.290
1970 -999.900    2.803    2.773    2.363    3.182
1971 -999.900    2.778    2.865    2.585    3.145
1972 -999.900    2.659    2.662    2.337    2.988
1973 -999.900    3.039    2.907    2.712    3.164
1974 -999.900    2.703    2.636    2.539    2.828
1975 -999.900    2.813    2.795    2.522    3.068
1976 -999.900    2.812    2.667    2.383    2.951
1977 -999.900    3.025    3.116    2.900    3.323
1978 -999.900    2.884    2.824    2.525    3.124
1979    2.626    2.612    2.653    2.487    2.776
1980    2.874    2.723    2.834    2.598    2.968
1981    3.066    2.987    2.902    2.780    3.112
1982    3.396    3.315    3.159    2.985    3.440
1983    3.306    3.151    3.138    2.896    3.380
1984    2.945    2.772    2.820    2.647    2.967
1985    2.989    2.925    2.918    2.800    3.050
1986    2.609    2.563    2.532    2.438    2.688
1987    2.664    2.701    2.739    2.515    2.963
1988    2.802    2.804    2.849    2.679    2.982
1989    2.424    2.495    2.602    2.370    2.784
1990    2.892    2.805    2.849    2.652    3.045
1991    2.706    2.670    2.728    2.545    2.897
1992    2.668    2.706    2.613    2.470    2.831
1993    3.151    3.080    3.034    2.955    3.205
1994    2.857    2.830    2.874    2.705    3.030
1995    2.784    2.794    2.891    2.669    3.091
1996    2.978    2.842    2.885    2.717    2.967
1997    2.884    2.852    2.831    2.727    2.977
1998    3.091    2.952    2.980    2.827    3.077
1999    3.031    3.025    3.030    2.874    3.185
2000    2.645    2.635    2.677    2.510    2.788
2001    2.716    2.586    2.726    2.461    2.876
2002    2.724    2.669    2.731    2.544    2.871
2003    2.935    2.923    2.897    2.798    3.048
2004    2.634    2.674    2.694    2.549    2.835
2005    2.901    2.861    2.783    2.610    2.986
2006    3.120    3.120    3.113    2.995    3.245
2007    2.829    2.840    2.845    2.683    3.006
2008    2.881    2.801    2.852    2.620    3.084
2009    2.827    2.718    2.852    2.593    3.084
2010    2.656    2.755    2.745    2.541    2.949
2011    2.991    2.877    2.947    2.752    3.092
2012    3.110    3.109    3.067    2.965    3.234
2013    3.155    3.073    3.025    2.913    3.198
2014    2.993    2.957    3.034    2.832    3.182
2015    2.945    2.922    2.961    2.797    3.047
2016    2.584    2.574    2.632    2.449    2.803
2017    2.887    2.783    2.771    2.643    2.908
2018    2.688    2.603    2.790    2.478    3.011
2019    2.781    2.665    2.796    2.540    3.031
2020    2.805    2.807    2.882    2.682    3.023
