Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    1.261    1.259    0.942    1.577
1906 -999.900    0.865    0.778    0.485    1.072
1907 -999.900    0.988    1.082    0.827    1.264
1908 -999.900    1.166    1.171    0.824    1.517
1909 -999.900    0.767    0.710    0.354    1.065
1910 -999.900    0.961    0.836    0.393    1.279
1911 -999.900    0.730    0.821    0.414    1.227
1912 -999.900    1.129    1.071    0.804    1.338
1913 -999.900    1.007    1.009    0.700    1.317
1914 -999.900    1.221    1.094    0.840    1.382
1915 -999.900    1.148    0.964    0.690    1.309
1916 -999.900    1.013    1.029    0.782    1.277
1917 -999.900    1.368    1.302    0.977    1.626
1918 -999.900    0.847    0.937    0.597    1.277
1919 -999.900    0.981    0.896    0.606    1.186
1920 -999.900    1.149    0.942    0.612    1.310
1921 -999.900    1.356    1.311    1.010    1.612
1922 -999.900    1.018    1.094    0.766    1.422
1923 -999.900    0.639    0.825    0.478    1.136
1924 -999.900    1.616    1.546    1.102    1.990
1925 -999.900    0.825    0.905    0.664    1.131
1926 -999.900    0.874    0.740    0.418    1.062
1927 -999.900    1.058    1.142    0.881    1.403
1928 -999.900    1.367    1.248    1.034    1.528
1929 -999.900    1.030    0.957    0.644    1.271
1930 -999.900    0.880    0.921    0.668    1.174
1931 -999.900    1.066    1.102    0.905    1.252
1932 -999.900    1.263    1.031    0.743    1.424
1933 -999.900    1.403    1.258    0.914    1.602
1934 -999.900    1.458    1.320    1.133    1.619
1935 -999.900    1.056    1.142    0.895    1.367
1936 -999.900    0.729    0.774    0.440    1.108
1937 -999.900    1.408    1.289    0.973    1.604
1938 -999.900    1.344    1.303    1.078    1.528
1939 -999.900    0.943    0.980    0.622    1.339
1940 -999.900    1.021    0.985    0.646    1.323
1941 -999.900    1.015    0.872    0.484    1.260
1942 -999.900    0.704    0.745    0.473    1.016
1943 -999.900    1.195    1.172    0.837    1.506
1944 -999.900    0.723    0.973    0.562    1.267
1945 -999.900    1.433    1.505    1.062    1.949
1946 -999.900    0.782    1.039    0.554    1.525
1947 -999.900    1.056    0.974    0.732    1.217
1948 -999.900    1.206    1.143    0.779    1.508
1949 -999.900    1.235    1.201    0.977    1.425
1950 -999.900    1.154    0.854    0.357    1.352
1951 -999.900    0.771    0.874    0.481    1.268
1952 -999.900    1.246    1.213    0.922    1.504
1953 -999.900    0.971    0.998    0.810    1.173
1954 -999.900    1.169    1.291    1.008    1.520
1955 -999.900    1.090    1.031    0.823    1.251
1956 -999.900    0.985    1.030    0.739    1.320
1957 -999.900    0.996    0.884    0.507    1.260
1958 -999.900    1.053    1.020    0.768    1.272
1959 -999.900    1.212    1.130    0.835    1.424
1960 -999.900    0.869    0.961    0.682    1.240
1961 -999.900    0.762    0.939    0.601    1.245
1962 -999.900    0.984    1.192    0.752    1.631
1963 -999.900    0.976    0.906    0.633    1.180
1964 -999.900    0.846    0.875    0.619    1.131
1965 -999.900    1.027    1.051    0.711    1.392
1966 -999.900    1.216    1.126    0.843    1.409
1967 -999.900    1.409    1.379    1.144    1.614
1968 -999.900    0.637    0.662    0.290    1.034
1969 -999.900    0.870    1.010    0.709    1.215
1970 -999.900    1.161    1.265    0.947    1.583
1971 -999.900    1.000    1.207    0.839    1.478
1972 -999.900    0.938    0.804    0.391    1.218
1973 -999.900    1.120    1.103    0.906    1.300
1974 -999.900    1.203    1.414    1.042    1.707
1975 -999.900    0.922    1.061    0.761    1.302
1976 -999.900    1.044    1.250    0.883    1.516
1977 -999.900    1.091    1.030    0.738    1.322
