Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    3.661    3.860    3.317    4.254
1906 -999.900    4.079    3.992    3.710    4.423
1907 -999.900    4.049    4.101    3.705    4.456
1908 -999.900    4.328    4.293    3.984    4.672
1909 -999.900    4.437    4.264    3.980    4.781
1910 -999.900    4.034    4.085    3.690    4.460
1911 -999.900    4.171    4.287    3.827    4.557
1912 -999.900    3.969    4.030    3.625    4.313
1913 -999.900    3.703    3.865    3.359    4.129
1914 -999.900    3.795    3.894    3.364    4.424
1915 -999.900    3.697    3.764    3.353    4.043
1916 -999.900    4.041    4.085    3.697    4.446
1917 -999.900    4.492    4.243    3.744    4.836
1918 -999.900    4.365    3.982    3.655    4.709
1919 -999.900    4.160    4.114    3.816    4.504
1920 -999.900    4.052    4.131    3.708    4.454
1921 -999.900    4.235    4.010    3.709    4.579
1922 -999.900    3.992    4.160    3.648    4.452
1923 -999.900    4.048    3.922    3.602    4.392
1924 -999.900    4.509    4.220    3.981    4.853
1925 -999.900    4.351    4.199    3.978    4.695
1926 -999.900    4.202    4.105    3.766    4.546
1927 -999.900    4.097    4.201    3.753    4.481
1928 -999.900    3.989    4.030    3.645    4.333
1929 -999.900    4.060    4.142    3.716    4.404
1930 -999.900    4.226    4.160    3.845    4.570
1931 -999.900    4.315    4.388    3.971    4.659
1932 -999.900    3.869    3.998    3.525    4.213
1933 -999.900    4.281    4.256    3.937    4.625
1934 -999.900    4.153    4.106    3.809    4.497
1935 -999.900    4.338    4.196    3.958    4.682
1936 -999.900    4.392    4.234    3.863    4.736
1937 -999.900    4.211    4.187    3.867    4.555
1938 -999.900    4.030    4.106    3.686    4.374
1939 -999.900    4.277    3.993    3.634    4.621
1940 -999.900    4.082    4.043    3.738    4.426
1941 -999.900    3.730    3.796    3.386    4.074
1942 -999.900    4.311    4.243    3.967    4.655
1943 -999.900    3.956    4.152    3.612    4.386
1944 -999.900    4.545    4.375    3.860    4.891
1945 -999.900    4.062    4.034    3.697    4.406
1946 -999.900    4.223    4.057    3.837    4.567
1947 -999.900    4.005    4.100    3.661    4.351
1948 -999.900    4.018    4.037    3.674    4.362
1949 -999.900    4.214    4.077    3.699    4.558
1950 -999.900    4.132    4.124    3.753    4.495
1951 -999.900    4.004    4.015    3.660    4.348
1952 -999.900    4.115    4.173    3.771    4.514
1953 -999.900    3.661    3.838    3.317    4.005
1954 -999.900    3.486    3.848    3.142    4.200
1955 -999.900    3.780    3.958    3.436    4.217
1956 -999.900    4.237    4.062    3.771    4.581
1957 -999.900    3.573    3.790    3.229    4.134
1958 -999.900    3.625    3.814    3.281    4.097
1959 -999.900    3.455    3.578    3.111    3.847
1960 -999.900    4.486    4.243    3.912    4.830
1961 -999.900    3.820    3.868    3.476    4.164
1962 -999.900    3.866    3.847    3.522    4.210
1963 -999.900    4.009    4.046    3.665    4.353
1964 -999.900    4.108    3.877    3.621    4.452
1965 -999.900    3.836    4.011    3.492    4.180
1966 -999.900    4.063    4.036    3.708    4.407
1967 -999.900    4.067    3.987    3.661    4.411
1968 -999.900    3.825    4.126    3.481    4.460
1969 -999.900    3.765    3.973    3.421    4.223
1970 -999.900    4.283    4.051    3.674    4.627
1971 -999.900    4.248    4.166    3.904    4.592
1972 -999.900    3.589    3.702    3.245    3.933
1973 -999.900    3.568    4.008    3.224    4.372
1974 -999.900    3.924    3.851    3.580    4.268
1975 -999.900    3.728    3.799    3.384    4.072
1976 -999.900    4.049    3.924    3.705    4.393
1977 -999.900    3.493    3.735    3.149    4.040
1978 -999.900    4.098    4.050    3.754    4.442
1979    4.173    4.272    4.249    3.928    4.616
1980    3.913    3.730    3.788    3.386    4.074
1981    4.026    3.944    3.913    3.600    4.288
1982    3.930    4.006    4.026    3.662    4.350
1983    3.684    3.642    3.630    3.298    3.986
1984    3.851    3.814    3.837    3.470    4.158
1985    4.072    4.097    4.025    3.753    4.441
1986    3.663    3.624    3.677    3.280    3.968
1987    3.455    3.603    3.705    3.259    3.947
1988    3.994    4.074    3.918    3.730    4.418
1989    4.435    4.107    4.209    3.763    4.459
1990    3.728    3.731    3.793    3.387    4.075
1991    3.478    3.773    3.659    3.429    4.117
1992    3.943    3.709    3.723    3.365    4.053
1993    4.265    3.934    3.968    3.590    4.298
1994    4.106    4.048    3.908    3.662    4.392
1995    4.175    3.954    3.910    3.610    4.298
1996    3.893    3.875    3.916    3.531    4.219
1997    3.833    4.127    4.033    3.783    4.471
1998    3.939    4.055    4.048    3.711    4.399
1999    4.110    4.209    4.137    3.865    4.553
2000    4.179    4.024    4.087    3.680    4.368
2001    3.685    3.819    3.954    3.475    4.177
2002    3.717    3.708    3.707    3.364    4.052
2003    4.235    4.211    4.194    3.867    4.555
2004    4.633    4.309    4.261    3.965    4.653
2005    3.945    3.839    3.882    3.495    4.183
2006    4.642    4.384    4.360    4.040    4.728
2007    4.043    3.994    3.906    3.650    4.338
2008    4.107    4.195    4.089    3.817    4.539
2009    4.114    3.949    3.892    3.605    4.293
2010    4.664    4.345    4.349    4.001    4.689
2011    3.636    3.920    3.894    3.576    4.264
2012    4.314    4.198    4.155    3.854    4.542
2013    4.168    4.074    4.127    3.730    4.418
2014    4.465    4.128    4.049    3.784    4.472
2015    4.145    3.856    3.908    3.512    4.200
2016    3.839    3.939    4.031    3.595    4.363
2017    3.916    4.047    3.996    3.703    4.391
2018    3.612    3.755    3.761    3.411    4.099
2019    3.719    3.724    3.798    3.380    4.068
2020    4.137    4.209    4.111    3.865    4.553
