Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    0.977    0.756    0.362    1.151
1906 -999.900    0.891    0.872    0.622    1.122
1907 -999.900    1.071    1.063    0.852    1.275
1908 -999.900    1.054    0.959    0.785    1.185
1909 -999.900    1.075    0.843    0.514    1.206
1910 -999.900    1.239    1.086    0.860    1.370
1911 -999.900    1.175    0.996    0.753    1.306
1912 -999.900    0.886    0.764    0.490    1.038
1913 -999.900    1.067    0.943    0.728    1.198
1914 -999.900    0.918    1.012    0.659    1.364
1915 -999.900    0.976    0.846    0.613    1.107
1916 -999.900    0.992    0.855    0.633    1.123
1917 -999.900    1.394    1.223    0.995    1.525
1918 -999.900    0.978    1.019    0.792    1.246
1919 -999.900    0.792    0.767    0.560    0.974
1920 -999.900    0.841    0.915    0.692    1.137
1921 -999.900    1.157    1.058    0.742    1.374
1922 -999.900    0.933    0.918    0.712    1.124
1923 -999.900    0.906    0.858    0.632    1.084
1924 -999.900    1.218    0.938    0.622    1.349
1925 -999.900    0.774    0.848    0.643    1.039
1926 -999.900    0.420    0.652    0.289    0.867
1927 -999.900    0.692    0.887    0.561    1.112
1928 -999.900    1.144    1.150    0.887    1.413
1929 -999.900    0.810    0.872    0.646    1.097
1930 -999.900    0.822    0.835    0.655    1.016
1931 -999.900    0.832    0.917    0.701    1.123
1932 -999.900    0.472    0.716    0.341    1.065
1933 -999.900    0.706    0.754    0.575    0.914
1934 -999.900    0.806    0.891    0.647    1.135
1935 -999.900    0.879    0.945    0.748    1.054
1936 -999.900    0.429    0.802    0.298    1.272
1937 -999.900    0.601    0.740    0.470    0.965
1938 -999.900    0.919    0.821    0.580    1.062
1939 -999.900    0.838    0.778    0.616    0.969
1940 -999.900    0.648    0.645    0.473    0.816
1941 -999.900    0.604    0.701    0.421    0.981
1942 -999.900    0.733    0.688    0.536    0.864
1943 -999.900    0.899    0.822    0.613    1.030
1944 -999.900    0.614    0.785    0.441    1.129
1945 -999.900    0.652    0.779    0.514    1.044
1946 -999.900    0.876    0.842    0.630    1.053
1947 -999.900    0.864    0.926    0.655    1.198
1948 -999.900    1.007    0.897    0.732    1.138
1949 -999.900    0.911    0.841    0.615    1.067
1950 -999.900    0.911    0.899    0.683    1.116
1951 -999.900    0.763    0.894    0.597    1.191
1952 -999.900    0.950    0.935    0.690    1.180
1953 -999.900    0.807    0.861    0.579    1.143
1954 -999.900    0.838    0.861    0.627    1.094
1955 -999.900    0.754    0.822    0.614    1.031
1956 -999.900    0.925    1.002    0.727    1.277
1957 -999.900    0.581    0.840    0.450    1.108
1958 -999.900    0.818    0.747    0.513    0.981
1959 -999.900    0.971    0.873    0.693    1.102
1960 -999.900    0.886    0.813    0.614    1.017
1961 -999.900    0.919    0.829    0.678    1.050
1962 -999.900    0.771    0.916    0.640    1.157
1963 -999.900    1.019    1.024    0.867    1.182
1964 -999.900    1.064    0.915    0.778    1.195
1965 -999.900    0.629    0.744    0.498    0.957
1966 -999.900    0.977    0.821    0.608    1.108
