Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    5.392    5.187    4.864    5.792
1906 -999.900    5.428    5.327    5.028    5.828
1907 -999.900    5.330    5.436    4.930    5.730
1908 -999.900    5.632    5.399    5.086    6.032
1909 -999.900    5.573    5.372    5.122    5.973
1910 -999.900    5.403    5.242    5.003    5.803
1911 -999.900    5.276    5.270    4.876    5.676
1912 -999.900    5.095    5.168    4.695    5.495
1913 -999.900    5.080    5.208    4.680    5.480
1914 -999.900    4.663    5.051    4.263    5.480
1915 -999.900    5.399    5.419    4.999    5.799
1916 -999.900    5.392    5.463    4.992    5.792
1917 -999.900    5.392    5.378    4.992    5.792
1918 -999.900    5.302    5.443    4.902    5.702
1919 -999.900    5.096    5.180    4.696    5.551
1920 -999.900    4.955    5.236    4.555    5.607
1921 -999.900    5.268    5.269    4.868    5.668
1922 -999.900    5.232    5.261    4.832    5.632
1923 -999.900    5.307    5.416    4.907    5.707
1924 -999.900    5.258    5.315    4.858    5.658
1925 -999.900    4.965    5.098    4.565    5.365
1926 -999.900    5.272    5.413    4.872    5.672
1927 -999.900    5.160    5.256    4.760    5.560
1928 -999.900    5.180    5.329    4.780    5.580
1929 -999.900    5.454    5.317    4.849    5.854
1930 -999.900    4.892    5.186    4.492    5.523
1931 -999.900    5.297    5.317    4.897    5.697
1932 -999.900    5.542    5.394    5.056    5.942
1933 -999.900    5.164    5.236    4.764    5.564
1934 -999.900    5.083    5.175    4.683    5.483
1935 -999.900    5.139    5.341    4.739    5.616
1936 -999.900    5.402    5.432    5.002    5.802
1937 -999.900    5.304    5.320    4.904    5.704
1938 -999.900    5.384    5.191    4.944    5.784
1939 -999.900    4.950    5.161    4.550    5.412
1940 -999.900    5.104    5.273    4.704    5.504
1941 -999.900    5.121    5.220    4.721    5.521
1942 -999.900    5.182    5.412    4.782    5.776
1943 -999.900    5.472    5.385    5.072    5.872
1944 -999.900    4.991    5.259    4.591    5.697
1945 -999.900    5.051    5.204    4.651    5.528
1946 -999.900    5.458    5.387    5.058    5.858
1947 -999.900    5.586    5.382    5.047    5.986
1948 -999.900    5.270    5.334    4.870    5.670
1949 -999.900    5.335    5.197    4.935    5.735
1950 -999.900    5.345    5.288    4.945    5.745
1951 -999.900    5.377    5.292    4.977    5.777
1952 -999.900    5.678    5.462    5.160    6.078
1953 -999.900    5.375    5.337    4.975    5.775
1954 -999.900    5.562    5.408    5.162    5.962
1955 -999.900    5.775    5.462    5.107    6.175
1956 -999.900    5.777    5.530    5.232    6.177
1957 -999.900    5.708    5.481    5.152    6.108
1958 -999.900    5.612    5.316    4.958    6.012
1959 -999.900    5.050    5.170    4.650    5.450
1960 -999.900    5.475    5.312    5.012    5.875
1961 -999.900    5.275    5.196    4.875    5.675
1962 -999.900    5.729    5.572    5.312    6.129
1963 -999.900    5.183    5.298    4.783    5.583
1964 -999.900    5.536    5.407    5.136    5.936
1965 -999.900    5.146    5.235    4.746    5.546
1966 -999.900    5.386    5.315    4.986    5.786
1967 -999.900    5.420    5.366    5.020    5.820
