Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    1.431    1.535    0.998    2.073
1906 -999.900    1.910    2.139    1.527    2.750
1907 -999.900    1.951    2.197    1.680    2.568
1908 -999.900    1.968    2.049    1.599    2.498
1909 -999.900    1.486    1.680    1.215    2.091
1910 -999.900    1.602    2.020    1.098    2.942
1911 -999.900    1.713    1.889    1.319    2.459
1912 -999.900    1.317    1.372    0.992    1.752
1913 -999.900    1.622    1.666    1.351    1.974
1914 -999.900    1.506    1.775    1.120    2.429
1915 -999.900    1.815    1.851    1.526    2.176
1916 -999.900    1.469    1.832    0.962    2.702
1917 -999.900    2.727    2.510    1.916    3.104
1918 -999.900    1.930    2.045    1.626    2.465
1919 -999.900    1.643    1.760    1.336    2.183
1920 -999.900    1.820    1.799    1.429    2.169
1921 -999.900    1.769    1.989    1.432    2.546
1922 -999.900    1.604    1.903    1.333    2.273
1923 -999.900    1.576    2.023    1.091    2.954
1924 -999.900    2.309    2.215    1.749    2.681
1925 -999.900    2.188    2.247    1.706    2.789
1926 -999.900    1.681    1.738    1.409    2.068
1927 -999.900    1.800    1.815    1.216    2.414
1928 -999.900    2.385    2.300    1.919    2.682
1929 -999.900    1.355    1.815    1.084    2.488
1930 -999.900    1.538    1.656    1.133    2.179
1931 -999.900    1.598    1.446    0.609    2.284
1932 -999.900    1.788    1.689    1.463    2.059
1933 -999.900    2.108    1.867    1.441    2.379
1934 -999.900    2.359    2.027    1.661    2.630
1935 -999.900    2.250    2.117    1.619    2.616
1936 -999.900    1.446    1.696    1.137    2.256
1937 -999.900    2.275    2.152    1.701    2.604
1938 -999.900    2.077    1.991    1.665    2.348
1939 -999.900    1.422    1.453    0.944    1.962
1940 -999.900    1.874    1.795    1.427    2.162
1941 -999.900    2.030    1.739    1.339    2.301
1942 -999.900    1.238    1.335    0.952    1.718
1943 -999.900    1.844    1.660    1.217    2.115
1944 -999.900    2.383    2.088    1.547    2.654
1945 -999.900    1.205    1.395    0.925    1.866
1946 -999.900    1.449    1.500    1.038    1.962
1947 -999.900    1.638    1.427    0.937    1.916
1948 -999.900    2.362    2.128    1.755    2.633
1949 -999.900    1.758    1.710    1.172    2.249
1950 -999.900    2.106    1.953    1.503    2.403
1951 -999.900    1.960    1.753    1.353    2.231
