Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    4.707    4.404    3.703    5.106
1906 -999.900    3.998    4.003    3.563    4.444
1907 -999.900    4.802    4.634    4.169    5.099
1908 -999.900    4.516    4.555    4.192    4.918
1909 -999.900    4.385    4.514    3.991    5.037
1910 -999.900    4.560    4.567    4.102    5.033
1911 -999.900    5.051    4.889    4.207    5.571
1912 -999.900    4.334    4.191    3.827    4.609
1913 -999.900    4.277    4.293    4.002    4.552
1914 -999.900    3.972    4.060    3.697    4.338
1915 -999.900    4.055    4.006    3.517    4.496
1916 -999.900    4.656    4.539    4.121    4.957
1917 -999.900    5.123    4.951    4.265    5.636
1918 -999.900    4.431    4.354    3.922    4.786
1919 -999.900    4.060    4.020    3.781    4.335
1920 -999.900    4.561    4.416    4.057    4.836
1921 -999.900    4.385    4.270    3.896    4.660
1922 -999.900    4.484    4.285    3.783    4.786
1923 -999.900    4.411    4.365    4.082    4.686
1924 -999.900    4.541    4.496    3.954    5.038
1925 -999.900    4.811    4.593    4.235    5.086
1926 -999.900    4.358    4.258    3.879    4.637
1927 -999.900    4.515    4.435    4.180    4.790
1928 -999.900    4.412    4.198    3.638    4.759
1929 -999.900    4.531    4.402    4.113    4.806
1930 -999.900    4.137    3.916    3.182    4.649
1931 -999.900    4.647    4.578    3.954    5.202
1932 -999.900    4.128    4.035    3.751    4.403
1933 -999.900    4.470    4.561    3.954    5.169
1934 -999.900    4.456    4.422    4.087    4.756
1935 -999.900    4.320    4.241    3.949    4.595
1936 -999.900    4.440    4.231    3.754    4.715
1937 -999.900    4.467    4.502    4.192    4.807
1938 -999.900    4.365    4.402    4.027    4.777
1939 -999.900    4.204    4.148    3.773    4.523
1940 -999.900    4.300    4.184    3.891    4.575
1941 -999.900    4.123    4.190    3.848    4.473
1942 -999.900    4.382    4.450    4.107    4.675
1943 -999.900    4.465    4.550    4.120    4.980
1944 -999.900    4.456    4.520    4.181    4.806
1945 -999.900    3.965    4.105    3.690    4.510
1946 -999.900    4.594    4.313    3.771    4.869
1947 -999.900    4.513    4.337    3.951    4.788
1948 -999.900    4.430    4.408    4.155    4.705
1949 -999.900    4.537    4.313    3.685    4.941
1950 -999.900    4.038    4.180    3.542    4.819
1951 -999.900    4.364    4.452    4.089    4.816
1952 -999.900    4.431    4.480    4.117    4.844
1953 -999.900    4.209    4.256    3.934    4.486
1954 -999.900    4.124    4.138    3.730    4.545
1955 -999.900    4.102    4.223    3.714    4.733
1956 -999.900    4.911    4.788    4.478    5.186
1957 -999.900    4.155    4.334    3.654    5.014
1958 -999.900    3.520    3.675    2.990    4.361
1959 -999.900    3.827    3.769    3.376    4.162
1960 -999.900    4.254    4.379    3.979    4.680
1961 -999.900    3.813    4.058    3.538    4.555
1962 -999.900    4.686    4.712    4.388    5.035
1963 -999.900    4.197    4.189    3.757    4.621
1964 -999.900    4.270    4.323    3.995    4.584
1965 -999.900    3.961    3.962    3.508    4.416
1966 -999.900    3.746    3.876    3.471    4.242
1967 -999.900    4.278    4.192    3.841    4.553
1968 -999.900    4.501    4.681    4.226    5.065
1969 -999.900    3.911    3.956    3.636    4.235
1970 -999.900    4.104    4.244    3.829    4.622
1971 -999.900    4.564    4.593    4.277    4.910
1972 -999.900    3.976    3.879    3.500    4.257
1973 -999.900    3.872    3.894    3.370    4.418
1974 -999.900    4.260    4.280    3.985    4.546
1975 -999.900    3.768    4.048    3.493    4.469
1976 -999.900    4.246    4.368    3.971    4.615
1977 -999.900    4.106    4.172    3.831    4.499
1978 -999.900    4.446    4.512    4.171    4.766
1979    4.509    4.586    4.539    4.311    4.861
1980    3.272    3.655    3.577    3.329    3.930
1981    4.279    4.121    4.232    3.846    4.407
1982    4.248    4.261    4.284    3.986    4.536
1983    4.250    4.065    4.186    3.790    4.417
1984    4.424    4.433    4.441    4.158    4.708
1985    4.400    4.382    4.384    4.107    4.657
1986    3.827    3.764    3.945    3.489    4.194
1987    4.118    4.246    4.148    3.902    4.521
1988    4.406    4.678    4.549    4.303    4.953
1989    4.513    4.518    4.611    4.243    4.831
1990    4.533    4.444    4.449    4.169    4.719
1991    4.143    4.178    4.059    3.890    4.453
1992    3.867    3.986    3.953    3.711    4.261
1993    4.031    4.145    4.202    3.870    4.420
1994    4.213    4.141    4.211    3.866    4.416
1995    3.967    3.983    4.068    3.708    4.295
1996    4.639    4.625    4.677    4.350    4.900
1997    4.297    4.145    4.245    3.870    4.518
1998    4.574    4.514    4.590    4.239    4.849
1999    4.786    4.842    4.922    4.567    5.117
2000    4.828    4.807    4.722    4.532    5.082
2001    4.383    4.373    4.434    4.098    4.648
2002    4.219    4.262    4.320    3.987    4.537
2003    4.412    4.625    4.453    4.196    4.900
2004    4.264    4.368    4.374    4.093    4.643
2005    4.121    4.109    4.309    3.834    4.553
2006    4.198    4.497    4.454    4.222    4.772
2007    4.445    4.546    4.550    4.271    4.821
2008    4.652    4.558    4.709    4.283    4.862
2009    4.767    4.734    4.662    4.459    5.009
2010    4.800    4.681    4.743    4.406    5.048
2011    4.473    4.739    4.771    4.464    5.014
2012    4.325    4.298    4.443    4.023    4.641
2013    4.832    4.816    4.794    4.541    5.091
2014    4.679    4.707    4.730    4.432    4.982
2015    4.440    4.173    4.403    3.898    4.707
2016    4.327    4.389    4.450    4.114    4.664
2017    4.054    4.273    4.270    3.998    4.548
2018    4.526    4.485    4.555    4.210    4.760
2019    4.076    4.177    4.205    3.902    4.452
2020    4.351    4.654    4.617    4.372    4.929
