Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    2.231    2.303    1.886    2.576
1906 -999.900    2.209    2.200    1.864    2.554
1907 -999.900    2.613    2.586    2.268    2.958
1908 -999.900    2.359    2.328    1.969    2.704
1909 -999.900    2.003    2.139    1.658    2.591
1910 -999.900    2.774    2.656    2.373    3.119
1911 -999.900    2.218    2.374    1.873    2.690
1912 -999.900    1.824    2.040    1.479    2.306
1913 -999.900    3.062    2.595    1.992    3.407
1914 -999.900    2.194    2.280    1.849    2.539
1915 -999.900    2.193    2.283    1.848    2.538
1916 -999.900    3.242    2.702    1.991    3.587
1917 -999.900    3.136    2.903    2.339    3.481
1918 -999.900    2.360    2.516    2.015    2.774
1919 -999.900    2.436    2.156    1.734    2.781
1920 -999.900    2.861    2.574    2.168    3.206
1921 -999.900    3.355    2.591    1.822    3.700
1922 -999.900    2.741    2.403    1.870    3.086
1923 -999.900    3.283    2.758    1.790    3.725
1924 -999.900    2.385    2.576    2.040    2.900
1925 -999.900    2.994    2.681    2.140    3.339
1926 -999.900    2.259    2.222    1.874    2.604
1927 -999.900    2.281    2.309    1.936    2.626
1928 -999.900    2.500    2.479    2.155    2.845
1929 -999.900    1.921    2.101    1.576    2.394
1930 -999.900    2.374    2.419    2.029    2.719
1931 -999.900    1.899    2.141    1.554    2.496
1932 -999.900    1.851    2.002    1.506    2.254
1933 -999.900    2.606    2.365    2.113    2.951
1934 -999.900    2.669    2.432    2.157    3.014
1935 -999.900    2.662    2.614    2.317    3.007
1936 -999.900    1.955    2.210    1.610    2.627
1937 -999.900    2.337    2.269    1.975    2.682
1938 -999.900    2.721    2.495    2.199    3.066
1939 -999.900    1.910    2.083    1.565    2.388
1940 -999.900    2.334    2.237    1.989    2.679
1941 -999.900    1.892    2.219    1.547    2.782
1942 -999.900    2.049    2.105    1.704    2.394
1943 -999.900    2.713    2.301    1.814    3.058
1944 -999.900    2.622    2.587    2.277    2.967
1945 -999.900    2.734    2.407    1.997    3.079
1946 -999.900    1.857    2.092    1.512    2.571
1947 -999.900    1.754    2.063    1.407    2.719
1948 -999.900    2.236    2.399    1.891    2.791
1949 -999.900    2.131    2.301    1.728    2.873
1950 -999.900    2.194    2.191    1.634    2.747
1951 -999.900    2.601    2.509    2.118    2.946
1952 -999.900    2.290    2.329    1.945    2.635
1953 -999.900    2.157    2.284    1.812    2.711
1954 -999.900    1.841    2.079    1.496    2.608
1955 -999.900    2.046    2.171    1.701    2.453
1956 -999.900    1.820    2.120    1.475    2.615
1957 -999.900    2.848    2.673    2.293    3.193
1958 -999.900    2.043    2.075    1.698    2.432
1959 -999.900    3.175    2.762    1.998    3.525
1960 -999.900    2.561    2.450    2.124    2.906
1961 -999.900    2.545    2.393    2.139    2.890
1962 -999.900    2.605    2.544    2.210    2.950
1963 -999.900    2.170    2.336    1.825    2.623
1964 -999.900    2.270    2.321    1.925    2.615
1965 -999.900    2.161    2.230    1.816    2.506
1966 -999.900    2.534    2.468    2.163    2.879
1967 -999.900    2.503    2.423    2.158    2.848
1968 -999.900    3.106    2.498    1.794    3.451
1969 -999.900    1.941    2.109    1.596    2.451
1970 -999.900    2.270    2.340    1.925    2.615
1971 -999.900    2.499    2.498    2.154    2.844
1972 -999.900    2.095    2.246    1.750    2.696
1973 -999.900    2.385    2.313    2.040    2.730
1974 -999.900    2.254    2.415    1.909    2.652
1975 -999.900    2.483    2.571    2.138    2.828
1976 -999.900    1.909    2.107    1.564    2.588
1977 -999.900    2.176    2.128    1.831    2.521
1978 -999.900    2.339    2.362    1.994    2.684
1979    2.270    2.218    2.285    1.873    2.563
1980    1.423    1.416    1.779    1.071    2.281
1981    2.026    2.175    2.156    1.830    2.520
1982    2.715    2.605    2.536    2.253    2.950
1983    2.265    2.423    2.277    2.061    2.768
1984    2.274    2.253    2.395    1.908    2.664
1985    2.657    2.606    2.583    2.261    2.951
1986    2.701    2.358    2.454    2.013    2.703
1987    2.744    2.625    2.558    2.261    2.970
1988    2.646    2.609    2.651    2.264    2.954
1989    2.324    2.425    2.453    2.080    2.770
1990    2.529    2.274    2.459    1.929    2.651
1991    2.378    2.221    2.329    1.876    2.566
1992    1.781    1.711    2.016    1.366    2.451
1993    2.284    2.273    2.281    1.928    2.618
1994    2.336    2.340    2.439    1.995    2.685
1995    2.342    2.418    2.589    2.073    2.935
1996    2.869    2.638    2.739    2.293    2.983
1997    2.196    2.463    2.451    2.118    2.808
1998    2.542    2.653    2.494    2.277    2.998
1999    2.952    2.748    2.767    2.403    3.093
2000    2.620    2.570    2.609    2.225    2.915
2001    2.597    2.434    2.489    2.089    2.779
2002    2.363    2.362    2.482    2.017    2.707
2003    2.498    2.436    2.493    2.091    2.781
2004    2.472    2.221    2.351    1.876    2.637
2005    2.609    2.655    2.590    2.310    3.000
2006    2.219    2.542    2.525    2.197    2.887
2007    2.245    2.462    2.411    2.117    2.807
2008    2.806    2.882    2.826    2.537    3.227
2009    2.811    2.460    2.445    2.115    2.805
2010    2.267    2.325    2.421    1.980    2.749
2011    1.975    2.326    2.491    1.981    2.671
2012    2.268    2.580    2.407    2.117    2.925
2013    2.665    2.427    2.370    2.082    2.772
2014    2.528    2.476    2.401    2.131    2.821
2015    2.641    2.489    2.449    2.144    2.834
2016    2.175    2.103    2.204    1.758    2.448
2017    1.469    1.561    1.867    1.216    2.275
2018    2.139    2.428    2.406    2.002    2.811
2019    1.973    1.996    2.210    1.651    2.646
2020    2.345    2.276    2.425    1.931    2.730
