Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    4.474    4.419    3.950    4.888
1906 -999.900    4.715    4.836    4.329    5.343
1907 -999.900    4.298    4.419    4.180    4.645
1908 -999.900    5.077    4.877    4.366    5.388
1909 -999.900    5.158    4.995    4.540    5.450
1910 -999.900    5.021    5.009    4.647    5.370
1911 -999.900    5.016    4.879    4.408    5.350
1912 -999.900    4.385    4.388    4.172    4.603
1913 -999.900    4.880    4.703    4.368    5.038
1914 -999.900    4.416    4.390    4.050    4.731
1915 -999.900    5.089    4.803    4.319    5.287
1916 -999.900    5.307    5.046    4.705    5.425
1917 -999.900    5.309    5.347    4.960    5.734
1918 -999.900    4.512    4.498    4.164    4.832
1919 -999.900    4.581    4.466    4.017    4.916
1920 -999.900    4.912    4.782    4.538    5.030
1921 -999.900    4.547    4.697    4.418    4.977
1922 -999.900    4.802    4.798    4.595    5.002
1923 -999.900    4.974    4.803    4.298    5.307
1924 -999.900    4.770    4.898    4.450    5.346
1925 -999.900    4.591    4.509    4.098    4.919
1926 -999.900    4.550    4.527    4.164    4.890
1927 -999.900    4.851    4.722    4.470    4.973
1928 -999.900    4.333    4.436    4.160    4.713
1929 -999.900    4.748    4.671    4.427    4.915
1930 -999.900    3.934    4.234    3.653    4.815
1931 -999.900    4.306    4.520    4.188    4.825
1932 -999.900    4.781    4.734    4.504    4.965
1933 -999.900    5.280    5.084    4.742    5.427
1934 -999.900    4.580    4.626    4.311    4.942
1935 -999.900    4.509    4.553    4.242    4.864
1936 -999.900    4.303    4.413    3.992    4.835
1937 -999.900    4.815    4.816    4.438    5.194
1938 -999.900    5.009    4.967    4.783    5.152
1939 -999.900    3.949    4.222    3.650    4.794
1940 -999.900    4.692    4.687    4.402    4.971
1941 -999.900    4.591    4.450    4.025    4.875
1942 -999.900    4.531    4.696    4.413    4.951
1943 -999.900    4.724    4.780    4.534    5.025
1944 -999.900    4.926    4.649    4.332    5.044
1945 -999.900    4.619    4.644    4.397    4.891
1946 -999.900    4.307    4.406    4.146    4.666
1947 -999.900    4.632    4.760    4.512    5.009
1948 -999.900    4.388    4.486    4.238    4.733
1949 -999.900    4.468    4.609    4.268    4.950
1950 -999.900    5.141    5.052    4.822    5.281
1951 -999.900    4.679    4.562    4.331    4.797
1952 -999.900    4.673    4.723    4.450    4.996
1953 -999.900    4.496    4.498    4.284    4.713
1954 -999.900    4.385    4.513    4.132    4.894
1955 -999.900    4.834    4.872    4.651    5.094
1956 -999.900    4.912    4.847    4.543    5.151
1957 -999.900    4.933    4.701    4.239    5.164
1958 -999.900    4.307    4.465    4.189    4.729
1959 -999.900    4.176    4.349    3.951    4.747
1960 -999.900    4.392    4.586    4.265    4.906
1961 -999.900    4.416    4.595    4.173    5.017
1962 -999.900    4.952    4.879    4.653    5.105
1963 -999.900    4.340    4.582    4.088    5.077
1964 -999.900    4.120    4.423    4.002    4.790
1965 -999.900    4.038    4.131    3.695    4.567
1966 -999.900    4.628    4.722    4.310    5.134
1967 -999.900    4.858    4.901    4.595    5.208
1968 -999.900    4.200    4.383    4.013    4.752
1969 -999.900    4.634    4.586    4.323    4.848
1970 -999.900    4.874    4.788    4.461    5.115
1971 -999.900    4.677    4.493    4.218    4.795
1972 -999.900    4.015    4.027    3.622    4.433
1973 -999.900    4.369    4.571    4.169    4.973
1974 -999.900    4.590    4.655    4.431    4.879
1975 -999.900    4.890    4.713    4.473    5.008
1976 -999.900    4.612    4.461    4.179    4.742
1977 -999.900    4.360    4.365    4.149    4.581
1978 -999.900    4.558    4.637    4.440    4.789
1979    4.198    4.343    4.339    4.180    4.499
1980    4.213    4.305    4.338    4.187    4.457
1981    4.358    4.470    4.464    4.323    4.606
1982    4.302    4.402    4.409    4.270    4.548
1983    4.663    4.654    4.651    4.536    4.772
1984    4.680    4.685    4.661    4.510    4.813
1985    4.917    4.907    4.876    4.770    5.025
1986    4.270    4.281    4.329    4.154    4.504
1987    4.391    4.482    4.459    4.314    4.603
1988    4.670    4.679    4.696    4.503    4.888
1989    4.939    4.922    4.896    4.764    5.040
1990    4.805    4.773    4.760    4.594    4.926
1991    4.357    4.378    4.409    4.260    4.520
1992    4.456    4.526    4.417    4.220    4.644
1993    4.397    4.525    4.464    4.322    4.643
1994    4.480    4.442    4.454    4.317    4.591
1995    4.437    4.427    4.522    4.309    4.736
1996    5.052    5.037    4.935    4.749    5.155
1997    4.484    4.560    4.538    4.406    4.678
1998    5.172    5.123    5.087    4.981    5.241
1999    5.197    5.216    5.175    5.067    5.334
2000    4.977    5.025    4.906    4.730    5.143
2001    4.821    4.830    4.827    4.674    4.980
2002    4.368    4.453    4.440    4.253    4.627
2003    4.279    4.400    4.426    4.264    4.588
2004    4.462    4.427    4.439    4.293    4.585
2005    4.747    4.763    4.795    4.616    4.974
2006    4.647    4.677    4.677    4.559    4.795
2007    5.159    5.140    5.077    4.878    5.276
2008    4.941    4.920    4.918    4.749    5.087
2009    4.786    4.871    4.774    4.612    4.989
2010    5.128    5.149    5.118    4.936    5.301
2011    4.741    4.804    4.780    4.630    4.930
2012    4.732    4.750    4.738    4.557    4.918
2013    4.986    4.889    4.868    4.714    5.021
2014    4.960    4.902    4.816    4.625    5.020
2015    4.388    4.503    4.472    4.342    4.621
2016    4.565    4.596    4.649    4.478    4.801
2017    4.446    4.434    4.551    4.316    4.781
2018    4.596    4.618    4.661    4.491    4.832
2019    4.380    4.519    4.452    4.365    4.637
2020    4.747    4.855    4.782    4.639    4.973
