Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    6.130    6.086    5.323    6.937
1906 -999.900    6.078    5.901    5.072    6.885
1907 -999.900    6.873    6.761    6.066    7.680
1908 -999.900    6.337    6.461    5.530    7.144
1909 -999.900    5.994    6.097    5.187    6.835
1910 -999.900    6.103    6.177    5.296    6.942
1911 -999.900    5.939    6.258    5.132    7.343
1912 -999.900    5.948    5.596    5.034    6.755
1913 -999.900    6.245    6.140    5.438    7.052
1914 -999.900    7.181    6.451    5.146    7.988
1915 -999.900    5.885    5.839    4.913    6.765
1916 -999.900    6.638    6.184    5.351    7.445
1917 -999.900    6.956    7.088    6.149    7.763
1918 -999.900    6.348    6.232    5.541    7.155
1919 -999.900    6.384    6.191    5.577    7.191
1920 -999.900    6.658    6.334    5.296    7.465
1921 -999.900    6.659    6.665    5.852    7.466
1922 -999.900    6.468    6.200    5.221    7.275
1923 -999.900    6.215    6.062    5.028    7.097
1924 -999.900    7.166    6.855    6.018    7.973
1925 -999.900    6.203    6.235    5.396    7.010
1926 -999.900    5.855    5.958    5.048    6.662
1927 -999.900    7.131    6.921    6.262    7.938
1928 -999.900    6.958    6.739    6.151    7.765
1929 -999.900    5.079    5.610    4.272    6.792
1930 -999.900    6.065    5.941    5.124    6.872
1931 -999.900    5.163    5.662    4.356    6.734
1932 -999.900    5.488    5.577    4.681    6.295
1933 -999.900    5.668    6.212    4.861    6.947
1934 -999.900    6.646    6.645    5.839    7.453
1935 -999.900    6.747    6.840    5.940    7.623
1936 -999.900    6.494    6.384    5.687    7.301
1937 -999.900    6.302    6.449    5.418    7.480
1938 -999.900    7.644    7.047    5.875    8.451
1939 -999.900    6.246    6.146    5.439    7.053
1940 -999.900    6.097    6.356    5.290    7.048
1941 -999.900    5.920    6.039    5.113    6.798
1942 -999.900    5.803    5.688    4.996    6.610
1943 -999.900    5.928    6.082    5.121    6.735
1944 -999.900    6.166    6.447    5.359    6.998
1945 -999.900    6.726    6.721    5.569    7.873
1946 -999.900    5.581    6.103    4.774    6.768
1947 -999.900    5.650    5.960    4.843    6.579
1948 -999.900    5.728    6.282    4.921    6.800
1949 -999.900    5.815    6.238    5.008    6.946
1950 -999.900    5.244    5.569    4.437    6.481
1951 -999.900    5.641    5.787    4.515    7.059
1952 -999.900    7.087    6.747    6.002    7.894
1953 -999.900    6.589    6.858    5.782    7.652
1954 -999.900    7.181    7.279    6.309    8.248
1955 -999.900    6.508    6.498    5.662    7.335
1956 -999.900    6.268    6.516    5.461    7.170
1957 -999.900    5.760    5.908    4.953    6.567
1958 -999.900    6.657    6.500    5.850    7.464
