Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900   16.237   15.812   15.054   16.781
1906 -999.900   15.163   15.768   14.619   16.754
1907 -999.900   16.178   16.235   15.634   16.722
1908 -999.900   16.853   16.219   15.173   17.397
1909 -999.900   16.891   16.465   16.051   17.435
1910 -999.900   16.959   16.410   15.837   17.503
1911 -999.900   16.369   16.228   15.147   17.309
1912 -999.900   16.149   15.935   15.406   16.693
1913 -999.900   15.143   15.682   14.599   16.369
1914 -999.900   15.879   15.994   15.335   16.473
1915 -999.900   15.810   15.763   15.266   16.354
1916 -999.900   15.195   16.069   14.651   17.195
1917 -999.900   15.465   16.416   14.921   17.391
1918 -999.900   15.944   16.132   15.400   16.695
1919 -999.900   15.727   15.799   15.183   16.271
1920 -999.900   15.725   16.169   15.181   16.632
1921 -999.900   14.877   15.912   14.333   16.790
1922 -999.900   17.136   16.228   15.360   17.680
1923 -999.900   14.834   15.770   14.290   16.695
1924 -999.900   15.616   16.177   15.072   16.736
1925 -999.900   15.308   15.867   14.764   16.554
1926 -999.900   16.519   16.350   15.948   17.063
1927 -999.900   16.445   16.198   15.712   16.989
1928 -999.900   16.223   15.963   15.559   16.767
1929 -999.900   17.167   16.381   15.659   17.711
1930 -999.900   16.452   16.206   15.908   16.996
1931 -999.900   16.879   16.647   15.817   17.478
1932 -999.900   16.165   15.988   15.621   16.709
1933 -999.900   16.464   16.233   15.556   17.008
1934 -999.900   16.130   16.109   15.586   16.674
1935 -999.900   16.300   16.081   15.726   16.844
1936 -999.900   17.046   16.201   15.104   17.590
1937 -999.900   16.423   16.267   15.879   16.967
1938 -999.900   16.080   16.041   15.536   16.624
1939 -999.900   16.397   15.899   15.436   16.941
1940 -999.900   15.969   15.827   15.425   16.513
1941 -999.900   15.911   15.631   15.158   16.455
1942 -999.900   16.471   16.260   15.927   17.015
1943 -999.900   16.657   16.261   15.885   17.201
1944 -999.900   16.387   16.442   15.831   17.054
1945 -999.900   15.805   16.204   15.261   16.681
1946 -999.900   16.488   16.000   15.469   17.032
1947 -999.900   16.007   16.055   15.463   16.551
1948 -999.900   16.288   16.262   15.688   16.835
1949 -999.900   15.710   15.902   15.166   16.254
1950 -999.900   15.839   16.098   14.997   17.199
1951 -999.900   16.382   16.305   15.838   16.926
1952 -999.900   16.221   16.409   15.677   16.882
1953 -999.900   15.847   15.874   15.303   16.391
1954 -999.900   15.950   16.022   15.406   16.494
1955 -999.900   16.258   16.075   15.714   16.802
1956 -999.900   16.123   16.210   15.579   16.748
1957 -999.900   15.626   16.113   15.082   16.736
