Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    7.520    7.245    6.761    8.279
1906 -999.900    7.172    6.956    5.787    8.125
1907 -999.900    6.758    7.604    5.999    8.781
1908 -999.900    6.737    7.320    5.978    8.351
1909 -999.900    7.037    7.346    6.278    7.796
1910 -999.900    6.792    7.435    6.033    8.195
1911 -999.900    7.632    7.582    6.873    8.391
1912 -999.900    6.903    6.821    6.144    7.662
1913 -999.900    7.943    7.460    6.685    8.702
1914 -999.900    7.172    7.194    6.319    8.070
1915 -999.900    7.240    7.097    6.481    7.999
1916 -999.900    7.030    7.024    6.271    7.789
1917 -999.900    7.904    7.928    7.145    8.663
1918 -999.900    7.017    7.766    6.258    8.529
1919 -999.900    7.869    7.302    6.625    8.628
1920 -999.900    8.049    7.758    7.290    8.808
1921 -999.900    7.840    7.963    7.081    8.659
1922 -999.900    6.129    6.504    5.370    7.532
1923 -999.900    6.677    6.852    5.918    7.436
1924 -999.900    7.977    7.572    6.771    8.736
1925 -999.900    7.463    7.526    6.704    8.222
1926 -999.900    7.339    6.381    4.921    8.098
1927 -999.900    6.996    7.304    6.237    7.952
1928 -999.900    7.387    7.280    6.628    8.146
1929 -999.900    6.339    6.558    5.580    7.523
1930 -999.900    7.757    7.947    6.998    8.624
1931 -999.900    7.907    7.656    6.841    8.666
1932 -999.900    7.009    6.794    6.250    7.768
1933 -999.900    6.375    6.790    5.616    7.445
1934 -999.900    7.156    7.605    6.397    8.339
1935 -999.900    7.232    7.427    6.473    7.991
1936 -999.900    6.134    7.146    5.375    8.276
1937 -999.900    6.546    7.239    5.787    8.025
1938 -999.900    6.665    7.113    5.906    7.982
1939 -999.900    7.037    6.777    5.511    8.043
1940 -999.900    6.849    7.111    6.090    7.608
1941 -999.900    7.192    8.038    6.433    9.263
1942 -999.900    7.072    7.215    6.313    7.831
1943 -999.900    7.073    7.361    6.314    7.832
1944 -999.900    8.001    7.751    7.242    8.760
1945 -999.900    7.842    7.298    6.716    8.601
1946 -999.900    7.036    7.262    6.277    7.988
1947 -999.900    6.811    7.089    6.052    7.881
1948 -999.900    7.816    7.780    7.057    8.575
1949 -999.900    8.185    7.595    6.902    8.944
1950 -999.900    7.641    7.303    6.682    8.400
1951 -999.900    6.508    7.183    5.749    8.247
1952 -999.900    8.234    7.692    6.934    8.993
1953 -999.900    8.079    7.719    7.129    8.838
1954 -999.900    7.204    7.010    6.341    7.963
1955 -999.900    6.842    6.786    6.015    7.601
1956 -999.900    6.538    6.817    5.779    7.297
1957 -999.900    7.621    7.030    6.376    8.380
1958 -999.900    7.651    7.167    6.402    8.410
1959 -999.900    7.195    7.280    6.436    7.954
1960 -999.900    7.711    7.325    6.635    8.470
1961 -999.900    6.897    7.220    6.138    7.656
1962 -999.900    6.823    7.069    6.064    7.582
1963 -999.900    7.382    7.284    6.623    8.141
1964 -999.900    7.383    7.101    6.624    8.142
1965 -999.900    6.474    6.715    5.715    7.480
1966 -999.900    6.532    7.127    5.773    7.738
1967 -999.900    7.235    7.441    6.476    7.994
1968 -999.900    6.772    6.553    5.740    7.531
1969 -999.900    6.567    6.952    5.808    7.466
1970 -999.900    7.043    6.998    6.284    7.802
1971 -999.900    5.978    6.654    5.219    7.810
1972 -999.900    7.046    7.056    6.062    8.051
1973 -999.900    7.155    6.758    6.255    7.914
1974 -999.900    6.727    7.497    5.968    8.537
1975 -999.900    7.146    7.584    6.387    8.538
1976 -999.900    6.565    7.476    5.806    8.581
1977 -999.900    6.394    6.550    5.635    7.153
1978 -999.900    7.708    7.297    6.534    8.467
1979    7.522    6.943    7.201    6.184    7.702
1980    5.981    6.628    6.503    5.869    7.387
1981    6.384    6.725    6.773    5.966    7.484
1982    7.682    7.467    7.195    6.671    8.226
1983    6.881    7.235    6.788    6.045    7.994
1984    6.823    6.834    7.087    6.075    7.688
1985    6.914    6.664    6.920    5.905    7.423
1986    6.893    6.985    6.720    6.226    7.744
1987    7.030    7.309    6.955    6.550    8.068
1988    6.907    6.700    7.075    5.941    7.854
1989    7.047    7.157    7.059    6.398    7.916
1990    7.110    6.893    7.094    6.134    7.652
1991    7.256    6.841    6.892    6.082    7.600
1992    6.984    7.151    7.147    6.392    7.910
1993    7.039    6.837    7.079    6.078    7.596
1994    7.605    7.614    7.546    6.855    8.373
1995    7.657    7.780    7.702    7.021    8.539
1996    7.676    7.713    7.260    6.763    8.472
1997    6.900    7.243    7.361    6.484    8.002
1998    7.316    7.459    7.140    6.633    8.218
1999    7.271    7.327    7.319    6.568    8.086
2000    7.628    7.983    7.252    6.517    8.742
2001    7.566    7.472    7.090    6.404    8.231
2002    6.763    7.391    7.081    6.632    8.150
2003    7.661    7.883    7.727    7.124    8.642
2004    7.651    7.321    7.291    6.562    8.080
2005    7.339    7.619    7.222    6.782    8.378
2006    6.422    7.240    6.793    6.167    7.999
2007    6.837    7.003    6.974    6.244    7.762
2008    8.352    8.078    7.873    7.319    8.837
2009    7.920    8.060    7.440    6.802    8.819
2010    7.229    7.079    7.122    6.320    7.838
2011    6.715    7.172    7.228    6.413    7.931
2012    7.636    7.575    7.420    6.816    8.334
2013    8.026    7.822    7.526    6.909    8.581
2014    8.457    7.539    7.275    6.636    8.298
2015    8.541    8.029    7.593    6.635    8.788
2016    7.324    7.536    7.172    6.547    8.295
2017    5.858    7.034    6.651    6.114    7.793
2018    6.472    6.400    6.525    5.641    7.159
2019    6.067    6.277    6.561    5.518    7.036
2020    7.025    7.561    7.079    6.503    8.320
