Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900   17.078   17.483   16.751   17.942
1906 -999.900   17.695   17.694   16.838   18.551
1907 -999.900   17.764   17.612   17.093   18.132
1908 -999.900   17.916   18.047   17.589   18.470
1909 -999.900   18.152   18.075   17.675   18.479
1910 -999.900   18.205   18.252   17.878   18.581
1911 -999.900   17.927   18.154   17.600   18.550
1912 -999.900   17.663   17.776   17.298   18.254
1913 -999.900   17.635   17.415   16.971   17.962
1914 -999.900   17.977   17.681   16.934   18.428
1915 -999.900   17.922   17.937   17.595   18.249
1916 -999.900   18.312   18.063   17.696   18.639
1917 -999.900   17.682   17.507   16.574   18.441
1918 -999.900   17.933   17.446   16.600   18.291
1919 -999.900   17.931   17.473   16.737   18.258
1920 -999.900   18.350   17.857   17.327   18.677
1921 -999.900   17.648   17.545   17.148   17.975
1922 -999.900   17.878   17.944   17.551   18.314
1923 -999.900   17.395   17.299   16.962   17.722
1924 -999.900   17.815   17.766   17.321   18.211
1925 -999.900   17.456   17.295   16.705   17.884
1926 -999.900   18.104   18.027   17.661   18.431
1927 -999.900   18.235   17.774   17.236   18.562
1928 -999.900   18.033   17.806   17.541   18.360
1929 -999.900   17.800   17.896   17.473   18.127
1930 -999.900   18.028   17.809   17.467   18.355
1931 -999.900   17.962   17.855   17.631   18.289
1932 -999.900   17.809   17.878   17.267   18.489
1933 -999.900   18.119   17.996   17.597   18.446
1934 -999.900   17.837   17.757   17.510   18.164
1935 -999.900   17.795   17.603   17.117   18.122
1936 -999.900   18.334   18.245   18.007   18.661
1937 -999.900   17.969   18.054   17.642   18.310
1938 -999.900   17.951   18.007   17.624   18.278
1939 -999.900   16.927   17.162   16.600   17.413
1940 -999.900   18.023   17.843   17.457   18.350
1941 -999.900   17.823   17.765   17.496   18.150
1942 -999.900   18.062   17.959   17.735   18.389
1943 -999.900   17.567   17.686   17.240   17.894
1944 -999.900   17.903   18.067   17.576   18.299
1945 -999.900   17.690   18.048   17.363   18.570
1946 -999.900   17.617   17.554   17.290   17.944
1947 -999.900   17.695   17.702   17.368   18.022
1948 -999.900   17.552   17.763   17.225   18.001
1949 -999.900   17.924   17.903   17.597   18.251
1950 -999.900   17.917   17.889   17.590   18.244
1951 -999.900   17.542   17.700   17.215   18.030
1952 -999.900   17.563   17.841   17.236   18.162
1953 -999.900   17.482   17.740   17.155   18.200
1954 -999.900   17.862   17.979   17.450   18.508
1955 -999.900   18.030   18.276   17.643   18.908
