Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    2.351    2.250    2.087    2.587
1906 -999.900    1.777    1.873    1.541    2.146
1907 -999.900    1.593    1.829    1.357    2.141
1908 -999.900    2.278    2.285    2.042    2.514
1909 -999.900    1.688    1.752    1.432    2.072
1910 -999.900    1.980    1.837    1.555    2.216
1911 -999.900    1.939    1.929    1.703    2.175
1912 -999.900    2.448    2.169    1.872    2.684
1913 -999.900    1.995    2.065    1.759    2.255
1914 -999.900    1.635    1.901    1.399    2.158
1915 -999.900    2.310    2.352    1.707    2.997
1916 -999.900    1.778    2.031    1.542    2.220
1917 -999.900    1.660    2.218    1.424    2.659
1918 -999.900    1.611    1.741    1.375    1.904
1919 -999.900    2.313    2.128    1.836    2.549
1920 -999.900    2.468    2.408    2.103    2.712
1921 -999.900    2.286    2.231    1.967    2.522
1922 -999.900    1.916    2.081    1.680    2.355
1923 -999.900    1.828    2.257    1.592    2.783
1924 -999.900    1.755    2.104    1.519    2.417
1925 -999.900    1.538    1.776    1.302    2.047
1926 -999.900    2.096    2.126    1.846    2.406
1927 -999.900    2.399    2.264    2.098    2.635
1928 -999.900    2.199    2.053    1.841    2.435
1929 -999.900    2.038    2.046    1.802    2.274
1930 -999.900    1.935    1.934    1.699    2.171
1931 -999.900    2.637    2.175    1.817    2.873
1932 -999.900    1.925    1.886    1.681    2.161
1933 -999.900    1.959    1.949    1.723    2.195
1934 -999.900    2.179    1.870    1.548    2.415
1935 -999.900    2.087    1.995    1.731    2.323
1936 -999.900    2.180    2.139    1.944    2.416
1937 -999.900    2.199    2.175    1.869    2.482
1938 -999.900    2.402    1.997    1.686    2.638
1939 -999.900    2.091    2.213    1.855    2.414
1940 -999.900    1.922    2.055    1.686    2.226
1941 -999.900    2.109    1.929    1.639    2.345
1942 -999.900    1.889    1.908    1.653    2.125
1943 -999.900    1.982    2.309    1.746    2.666
1944 -999.900    2.137    1.893    1.642    2.373
1945 -999.900    2.539    2.318    2.049    2.775
1946 -999.900    1.933    2.099    1.697    2.411
1947 -999.900    2.297    2.295    1.999    2.590
1948 -999.900    1.867    1.623    1.396    2.103
1949 -999.900    2.045    2.130    1.809    2.310
1950 -999.900    1.943    1.772    1.589    2.179
1951 -999.900    1.858    1.926    1.622    2.094
1952 -999.900    2.527    2.485    2.216    2.763
1953 -999.900    2.507    2.272    1.994    2.743
1954 -999.900    2.307    2.506    2.071    2.797
1955 -999.900    2.033    2.084    1.797    2.295
1956 -999.900    2.012    1.839    1.684    2.248
1957 -999.900    1.662    1.892    1.426    2.131
1958 -999.900    2.373    2.332    2.137    2.609
1959 -999.900    2.039    2.105    1.803    2.286
1960 -999.900    2.429    2.608    2.104    3.112
1961 -999.900    1.778    1.991    1.542    2.205
1962 -999.900    2.040    2.344    1.804    2.629
1963 -999.900    2.200    2.136    1.884    2.436
1964 -999.900    1.910    1.980    1.674    2.186
1965 -999.900    1.796    1.752    1.560    2.032
1966 -999.900    2.050    2.138    1.814    2.306
1967 -999.900    1.551    1.689    1.315    1.997
1968 -999.900    1.818    2.117    1.582    2.368
