Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    3.961    4.065    3.756    4.266
1906 -999.900    3.969    3.954    3.764    4.174
1907 -999.900    3.713    3.696    3.508    3.918
1908 -999.900    3.490    3.521    3.285    3.695
1909 -999.900    3.827    3.795    3.618    4.032
1910 -999.900    3.566    3.609    3.361    3.795
1911 -999.900    3.636    3.587    3.424    3.841
1912 -999.900    4.008    4.027    3.803    4.213
1913 -999.900    3.802    3.818    3.597    4.007
1914 -999.900    3.785    3.789    3.580    3.990
1915 -999.900    4.216    4.215    3.992    4.438
1916 -999.900    3.994    3.919    3.675    4.199
1917 -999.900    3.366    3.392    3.161    3.571
1918 -999.900    3.748    3.751    3.543    3.953
1919 -999.900    3.837    3.865    3.632    4.066
1920 -999.900    3.815    3.768    3.610    4.020
1921 -999.900    3.840    3.842    3.635    4.045
1922 -999.900    3.832    3.821    3.627    4.037
1923 -999.900    3.733    3.710    3.528    3.938
1924 -999.900    3.808    3.801    3.551    4.051
1925 -999.900    3.709    3.648    3.504    3.914
1926 -999.900    3.894    3.908    3.689    4.099
1927 -999.900    3.777    3.792    3.572    3.982
1928 -999.900    4.226    4.170    3.964    4.431
1929 -999.900    3.938    3.969    3.733    4.143
1930 -999.900    4.224    4.203    4.019    4.429
1931 -999.900    3.584    3.654    3.379    3.826
1932 -999.900    3.997    4.022    3.792    4.202
1933 -999.900    3.777    3.739    3.572    3.982
1934 -999.900    3.889    3.895    3.684    4.094
1935 -999.900    3.731    3.766    3.526    3.936
1936 -999.900    3.757    3.772    3.552    3.962
1937 -999.900    3.554    3.549    3.349    3.759
1938 -999.900    3.764    3.797    3.559    3.969
1939 -999.900    4.013    4.053    3.808    4.218
1940 -999.900    3.765    3.751    3.560    3.970
1941 -999.900    3.714    3.728    3.509    3.919
1942 -999.900    3.870    3.830    3.665    4.075
1943 -999.900    3.423    3.505    3.218    3.653
1944 -999.900    3.570    3.567    3.365    3.775
1945 -999.900    4.213    4.201    3.970    4.432
1946 -999.900    3.693    3.735    3.488    3.925
1947 -999.900    3.775    3.822    3.570    3.980
1948 -999.900    3.749    3.750    3.544    3.954
1949 -999.900    3.936    3.964    3.731    4.141
1950 -999.900    3.670    3.702    3.465    3.900
1951 -999.900    3.658    3.637    3.453    3.863
1952 -999.900    3.863    3.838    3.658    4.068
1953 -999.900    3.878    3.889    3.673    4.083
1954 -999.900    3.816    3.801    3.611    4.021
1955 -999.900    3.569    3.531    3.364    3.774
1956 -999.900    3.256    3.257    3.051    3.461
1957 -999.900    3.848    3.790    3.643    4.053
1958 -999.900    4.239    4.190    4.034    4.444
1959 -999.900    4.095    4.054    3.890    4.300
1960 -999.900    3.736    3.687    3.531    3.941
1961 -999.900    3.803    3.786    3.598    4.008
1962 -999.900    3.498    3.494    3.293    3.703
1963 -999.900    3.634    3.626    3.429    3.839
1964 -999.900    3.785    3.786    3.550    4.021
1965 -999.900    3.589    3.584    3.384    3.794
1966 -999.900    3.894    3.890    3.689    4.099
1967 -999.900    3.728    3.730    3.523    3.933
1968 -999.900    3.664    3.667    3.459    3.869
1969 -999.900    3.888    3.841    3.670    4.093
1970 -999.900    3.746    3.731    3.541    3.951
1971 -999.900    3.512    3.507    3.307    3.717
1972 -999.900    3.904    3.871    3.699    4.109
1973 -999.900    4.026    3.942    3.780    4.231
1974 -999.900    3.649    3.714    3.444    3.854
1975 -999.900    3.872    3.882    3.667    4.077
1976 -999.900    3.488    3.536    3.283    3.708
1977 -999.900    3.495    3.487    3.290    3.700
1978 -999.900    3.579    3.594    3.374    3.784
1979    3.820    3.754    3.726    3.549    3.959
1980    4.388    4.209    4.211    4.004    4.414
1981    3.891    3.697    3.766    3.492    3.902
1982    3.561    3.535    3.543    3.330    3.740
1983    3.523    3.602    3.640    3.397    3.807
1984    3.823    3.731    3.723    3.526    3.936
1985    3.656    3.604    3.606    3.399    3.809
1986    3.639    3.647    3.693    3.442    3.852
1987    4.073    3.959    3.945    3.754    4.164
1988    3.803    3.750    3.740    3.545    3.955
1989    3.425    3.311    3.348    3.106    3.516
1990    3.412    3.562    3.571    3.357    3.767
1991    4.239    4.019    4.045    3.814    4.224
1992    4.349    4.064    4.087    3.859    4.269
1993    3.565    3.550    3.568    3.345    3.755
1994    3.933    3.869    3.850    3.664    4.074
1995    3.943    3.743    3.750    3.538    3.948
1996    3.681    3.607    3.603    3.402    3.812
1997    3.704    3.658    3.653    3.453    3.863
1998    3.830    3.718    3.700    3.513    3.923
1999    3.244    3.302    3.292    3.097    3.507
2000    3.484    3.379    3.416    3.174    3.584
2001    3.973    3.774    3.782    3.569    3.979
2002    3.579    3.762    3.745    3.557    3.967
2003    3.780    3.836    3.775    3.631    4.041
2004    3.791    3.708    3.706    3.503    3.913
2005    3.850    3.940    3.857    3.735    4.145
2006    3.616    3.543    3.515    3.338    3.748
2007    3.778    3.738    3.710    3.533    3.943
2008    3.723    3.614    3.633    3.409    3.819
2009    3.647    3.680    3.629    3.475    3.885
2010    3.615    3.464    3.494    3.259    3.669
2011    3.603    3.396    3.474    3.191    3.601
2012    3.649    3.719    3.704    3.514    3.924
2013    3.544    3.619    3.560    3.414    3.824
2014    3.783    3.645    3.673    3.440    3.850
2015    3.839    3.761    3.758    3.556    3.966
2016    4.026    3.906    3.891    3.701    4.111
2017    3.579    3.641    3.650    3.436    3.846
2018    3.556    3.509    3.524    3.304    3.714
2019    3.737    3.770    3.806    3.565    3.975
2020    3.803    3.723    3.744    3.518    3.928
