Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    2.441    2.489    2.094    2.883
1906 -999.900    2.409    2.523    2.185    2.853
1907 -999.900    2.003    2.136    1.710    2.562
1908 -999.900    2.202    2.565    1.978    3.099
1909 -999.900    2.077    2.215    1.794    2.636
1910 -999.900    1.894    2.185    1.670    2.398
1911 -999.900    2.281    2.223    1.839    2.608
1912 -999.900    2.313    2.484    2.089    2.684
1913 -999.900    2.659    2.645    2.256    3.035
1914 -999.900    1.937    2.178    1.713    2.415
1915 -999.900    2.422    2.346    2.104    2.646
1916 -999.900    2.146    2.238    1.922    2.532
1917 -999.900    2.132    2.191    1.780    2.602
1918 -999.900    2.257    2.402    2.033    2.602
1919 -999.900    2.686    2.526    2.251    2.910
1920 -999.900    2.690    2.519    2.348    2.914
1921 -999.900    2.602    2.505    1.926    3.083
1922 -999.900    1.975    2.286    1.751    2.648
1923 -999.900    2.000    2.003    1.599    2.407
1924 -999.900    2.676    2.714    2.338    3.089
1925 -999.900    2.257    2.163    1.896    2.481
1926 -999.900    2.094    2.070    1.543    2.598
1927 -999.900    2.274    2.260    1.852    2.668
1928 -999.900    2.451    2.471    1.761    3.181
1929 -999.900    2.132    2.217    1.892    2.542
1930 -999.900    2.725    2.461    2.136    2.949
1931 -999.900    2.409    2.323    1.828    2.819
1932 -999.900    2.381    2.260    1.798    2.723
1933 -999.900    1.991    2.172    1.767    2.400
1934 -999.900    2.389    2.480    2.165    2.773
1935 -999.900    2.257    2.449    1.804    3.093
1936 -999.900    2.217    2.288    1.993    2.530
1937 -999.900    1.930    1.953    1.627    2.279
1938 -999.900    1.870    2.167    1.580    2.754
1939 -999.900    1.976    2.199    1.752    2.463
1940 -999.900    2.175    2.316    1.951    2.575
1941 -999.900    2.339    2.413    2.032    2.794
1942 -999.900    2.372    2.504    2.148    2.753
1943 -999.900    2.368    2.489    2.144    2.745
1944 -999.900    2.397    2.108    1.774    2.621
1945 -999.900    2.720    2.337    1.730    2.944
1946 -999.900    2.225    2.200    1.955    2.449
1947 -999.900    1.966    2.147    1.742    2.387
1948 -999.900    2.539    2.508    2.125    2.891
1949 -999.900    2.792    2.623    2.342    3.016
1950 -999.900    2.444    2.247    1.614    2.879
1951 -999.900    2.081    2.107    1.857    2.305
1952 -999.900    2.724    2.462    2.158    2.948
1953 -999.900    2.631    2.329    2.008    2.855
1954 -999.900    2.074    2.056    1.464    2.649
1955 -999.900    1.885    1.840    1.377    2.304
1956 -999.900    1.554    1.976    1.330    2.388
1957 -999.900    1.895    1.644    0.974    2.314
1958 -999.900    2.401    2.488    2.177    2.692
1959 -999.900    2.284    2.412    1.934    2.890
1960 -999.900    2.133    2.128    1.621    2.635
1961 -999.900    2.041    2.165    1.817    2.374
1962 -999.900    1.931    1.976    1.421    2.532
1963 -999.900    2.252    2.152    1.790    2.515
1964 -999.900    2.252    2.351    1.997    2.704
1965 -999.900    1.456    1.638    1.089    2.186
1966 -999.900    2.200    2.282    1.641    2.924
1967 -999.900    2.060    1.909    1.586    2.284
1968 -999.900    1.673    1.917    1.449    2.239
1969 -999.900    1.762    1.795    1.538    2.022
1970 -999.900    2.286    2.235    2.062    2.510
1971 -999.900    1.374    1.794    1.150    2.393
1972 -999.900    1.900    1.966    1.605    2.326
1973 -999.900    2.006    2.152    1.782    2.378
1974 -999.900    1.852    2.197    1.429    2.964
1975 -999.900    2.052    1.989    1.731    2.276
1976 -999.900    1.815    2.274    1.591    2.744
1977 -999.900    1.575    1.663    1.351    1.943
1978 -999.900    2.176    2.101    1.822    2.400
1979    2.349    2.229    2.218    2.005    2.453
1980    2.223    2.097    2.239    1.873    2.436
1981    1.748    1.939    1.811    1.510    2.163
1982    1.981    2.009    1.925    1.785    2.233
1983    2.258    2.270    2.227    2.046    2.494
1984    2.048    2.073    2.020    1.813    2.297
1985    1.869    1.884    1.756    1.575    2.108
1986    1.893    1.844    1.766    1.620    2.068
1987    1.937    2.104    2.068    1.880    2.328
1988    1.831    1.754    2.012    1.530    2.193
1989    2.049    2.057    2.178    1.833    2.332
1990    1.969    1.776    1.938    1.552    2.105
1991    2.474    2.478    2.310    2.001    2.702
1992    2.689    2.592    2.604    2.354    2.853
1993    2.006    1.946    2.094    1.722    2.368
1994    2.511    2.594    2.237    1.987    2.818
1995    2.410    2.317    2.199    1.985    2.541
1996    2.111    2.271    2.042    1.853    2.495
1997    2.092    2.180    2.107    1.943    2.404
1998    2.191    2.174    2.112    1.939    2.398
1999    1.549    1.658    1.623    1.434    1.882
2000    1.937    1.999    1.887    1.775    2.223
2001    2.459    2.421    2.301    2.157    2.645
2002    1.885    2.038    1.880    1.599    2.262
2003    2.729    2.612    2.331    2.091    2.836
2004    2.651    2.559    2.451    2.306    2.783
2005    1.938    1.995    1.915    1.719    2.219
2006    1.702    1.868    1.779    1.535    2.092
2007    2.029    2.101    1.960    1.750    2.325
2008    2.636    2.590    2.340    2.054    2.814
2009    2.292    2.302    2.005    1.743    2.526
2010    2.481    2.202    2.148    1.978    2.426
2011    1.951    1.988    1.925    1.764    2.212
2012    2.558    2.579    2.297    2.023    2.803
2013    2.418    2.394    2.313    2.081    2.618
2014    2.647    2.332    2.366    2.108    2.592
2015    2.787    2.651    2.354    2.096    2.875
2016    2.381    2.222    2.127    1.920    2.446
2017    2.207    2.215    2.038    1.893    2.439
2018    1.876    1.938    1.766    1.582    2.162
2019    1.713    1.803    1.826    1.579    2.063
2020    2.113    2.070    2.248    1.846    2.411
