Year Observed_Sea_Ice_Extent Best_Fit_Recon Ensemble_Mean_Recon 95%_Lower_CI 95%_Upper_CI
NOTE: Sea Ice Extent is in 10^6 km^2
1905 -999.900    3.668    3.622    3.503    3.823
1906 -999.900    3.822    3.821    3.603    4.039
1907 -999.900    4.058    4.063    3.903    4.213
1908 -999.900    3.584    3.551    3.429    3.739
1909 -999.900    3.884    3.827    3.669    4.039
1910 -999.900    3.989    3.844    3.629    4.144
1911 -999.900    3.713    3.696    3.532    3.868
1912 -999.900    4.155    4.050    3.894    4.310
1913 -999.900    3.903    3.867    3.734    4.058
1914 -999.900    3.857    3.925    3.637    4.214
1915 -999.900    4.024    4.005    3.772    4.238
1916 -999.900    3.660    3.617    3.434    3.815
1917 -999.900    3.786    3.754    3.578    3.941
1918 -999.900    3.801    3.879    3.646    4.040
1919 -999.900    3.623    3.703    3.468    3.915
1920 -999.900    3.829    3.813    3.579    4.048
1921 -999.900    3.799    3.780    3.629    3.954
1922 -999.900    3.543    3.667    3.388    3.854
1923 -999.900    3.823    3.758    3.611    3.978
1924 -999.900    3.733    3.779    3.578    3.965
1925 -999.900    4.020    3.975    3.757    4.194
1926 -999.900    3.806    3.885    3.651    4.012
1927 -999.900    3.871    3.942    3.716    4.083
1928 -999.900    3.919    4.030    3.764    4.201
1929 -999.900    3.695    3.810    3.540    3.942
1930 -999.900    4.130    4.188    3.975    4.391
1931 -999.900    3.748    3.740    3.553    3.926
1932 -999.900    3.539    3.606    3.384    3.770
1933 -999.900    3.695    3.739    3.540    3.895
1934 -999.900    3.576    3.633    3.421    3.833
1935 -999.900    4.005    4.121    3.850    4.303
1936 -999.900    3.581    3.703    3.426    3.898
1937 -999.900    3.658    3.748    3.503    3.880
1938 -999.900    3.809    3.912    3.654    4.100
1939 -999.900    3.912    3.899    3.676    4.122
1940 -999.900    3.755    3.847    3.600    3.955
1941 -999.900    3.685    3.797    3.530    3.933
1942 -999.900    3.935    3.857    3.621    4.092
1943 -999.900    3.292    3.282    3.129    3.447
1944 -999.900    3.745    3.778    3.590    3.917
1945 -999.900    3.918    3.965    3.763    4.163
1946 -999.900    3.426    3.422    3.130    3.714
1947 -999.900    3.513    3.599    3.358    3.732
1948 -999.900    3.903    3.883    3.748    4.058
1949 -999.900    3.762    3.875    3.607    4.042
1950 -999.900    3.708    3.686    3.489    3.884
1951 -999.900    3.738    3.716    3.581    3.893
1952 -999.900    3.472    3.519    3.317    3.627
1953 -999.900    3.423    3.479    3.268    3.677
1954 -999.900    3.894    3.891    3.722    4.059
1955 -999.900    3.746    3.664    3.488    3.901
1956 -999.900    3.502    3.421    3.271    3.657
1957 -999.900    3.827    3.832    3.672    3.982
1958 -999.900    3.586    3.602    3.431    3.765
1959 -999.900    3.623    3.818    3.468    4.000
1960 -999.900    3.451    3.513    3.296    3.687
1961 -999.900    3.777    3.812    3.622    3.997
1962 -999.900    3.300    3.402    3.145    3.564
1963 -999.900    3.951    3.788    3.582    4.106
1964 -999.900    3.792    3.787    3.637    3.947
1965 -999.900    3.819    3.876    3.664    3.974
1966 -999.900    3.750    3.697    3.505    3.905
1967 -999.900    3.712    3.760    3.557    3.962
1968 -999.900    3.659    3.667    3.462    3.873
1969 -999.900    3.600    3.591    3.445    3.755
1970 -999.900    3.421    3.408    3.266    3.576
1971 -999.900    3.783    3.729    3.541    3.938
1972 -999.900    4.027    3.927    3.823    4.182
1973 -999.900    3.858    3.818    3.591    4.044
1974 -999.900    3.700    3.630    3.483    3.855
1975 -999.900    3.898    3.856    3.691    4.053
1976 -999.900    3.696    3.733    3.541    3.895
1977 -999.900    3.789    3.749    3.591    3.944
1978 -999.900    3.540    3.528    3.376    3.695
1979    3.740    3.681    3.702    3.526    3.836
1980    4.463    4.309    4.283    4.110    4.464
1981    3.955    3.952    3.836    3.694    4.107
1982    3.759    3.862    3.816    3.699    4.017
1983    3.552    3.642    3.629    3.487    3.797
1984    3.537    3.582    3.528    3.427    3.737
1985    3.468    3.298    3.350    3.143    3.471
1986    3.837    3.861    3.779    3.671    4.016
1987    4.260    4.166    4.077    3.943    4.321
1988    3.979    3.882    3.911    3.727    4.037
1989    3.295    3.359    3.332    3.204    3.514
1990    3.640    3.585    3.633    3.430    3.740
1991    3.999    3.839    3.807    3.650    3.994
1992    3.639    3.675    3.611    3.504    3.830
1993    3.745    3.708    3.730    3.553    3.863
1994    3.654    3.712    3.701    3.557    3.867
1995    3.913    3.815    3.803    3.660    3.970
1996    3.588    3.639    3.584    3.484    3.794
1997    4.178    4.107    4.049    3.865    4.262
1998    3.726    3.713    3.662    3.558    3.868
1999    3.694    3.752    3.619    3.513    3.907
2000    3.804    3.810    3.714    3.589    3.965
2001    3.459    3.455    3.443    3.300    3.610
2002    3.728    3.780    3.750    3.625    3.935
2003    3.419    3.377    3.419    3.222    3.535
2004    3.571    3.538    3.538    3.383    3.693
2005    3.839    3.773    3.750    3.618    3.928
2006    3.893    3.905    3.864    3.740    4.060
2007    3.836    3.639    3.725    3.484    3.845
2008    3.475    3.610    3.555    3.448    3.765
2009    3.515    3.636    3.663    3.476    3.850
2010    3.434    3.376    3.356    3.221    3.531
2011    3.801    3.792    3.768    3.637    3.947
2012    3.702    3.670    3.691    3.515    3.828
2013    3.806    3.756    3.705    3.558    3.911
2014    3.845    3.779    3.850    3.624    4.004
2015    3.953    3.959    3.883    3.777    4.114
2016    3.587    3.579    3.556    3.424    3.734
2017    3.539    3.557    3.527    3.347    3.712
2018    3.409    3.512    3.438    3.296    3.667
2019    3.795    3.748    3.751    3.589    3.913
2020    3.890    3.813    3.847    3.658    3.968
